question,option_a,option_b,option_c,option_d,option_e,correct_answers
55. CM. True statements about cervical cancer are:,90% associated with HPV,nulliparity is a risk factor,multiparity is a risk factor,more frequent in immunocompromised patients,smoking is a predisposing factor,"A,C,D,E"
56. CM. Predisposing factors for cervical cancer are:,multiple sex partners,genital warts,"hpv 16,18",virginity,late menarche,"A,B,C"
57. CM. Risk factor for cervical cancer are:,HPV,smoking,late menarche,nulliparity,early start of sexual life,"A,B,E"
58. CM. High risk HPV for cervical cancer are:,HPV 16,HPV 18,HPV 21,HPV 31,HPV 36,"A,B"
59. CS. Carcinoma cervix extends to lateral pelvic wall. The stage would be:,stage I,stage II A,stage II B,stage III,stage IV,D
60. CM. Lymph nodes (LN) involved in cervical cancer:,inguinal LN,obturator LN,hypo-gastric LN,external iliac LN,femoral LN,"B,C,D"
61. CS. A 55-years-old lady presenting to out patient department with post-coital bleeding for 3 months has a 1 x 1cm nodule on the anterior lip of cervix. The most appropriate investigation to be done subsequently is:,pap smear,punch biopsy,endocervical curettage,colposcopy,cone biopsy,B
62. CM. Best methods of treatment of carcinoma in situ of cervix are:,simple hysterectomy,conisation,laser vaporization,cryosurgery,total hysterectomy,"A,B"
"63. CS. In microinvasive cervical cancer, treatment of choice is:",conization,laser,simple hysterectomy,radical hysterectomy,total hysterectomy,C
64. CM. Treatment of cervical cancer stage IB includes:,surgery,laser vaporization,radiotherapy,cryotherapy,leep,"A,C"
65. CM. Treatment of stage IIa cervical cancer includes:,radical hysterectomy,radical hysterectomy with removal of pelvic lymph nodes,total abdominal hysterectomy with bilateral salpingo-oophorectomy,radiation therapy,hormonal replacement therapy,"B,D"
66. CM. Karyotyping of fetus can be done through all of the following invasive methods:,amniocentesis,cordocentesis,chorionic villous sampling,fetal skin biopsy,amnioscopy,"A,B,C"
67. CM. Prenatal diagnosis at 16 weeks of pregnancy can be performed using all of the following:,amniotic fluid,maternal blood,chorionic villi,fetal blood,fetal skin biopsy,"A,B,C"
68. CM. Monitoring of B-HCG is useful in management of:,hidatiform mole,choriocarcinoma,ectopic pregnancy,endodermal sinus tumor,preeclampsia,"A,B,C"
69. CS. The best time to do chorionic villous sampling is:,between 6-8 weeks,between 7-9 weeks,between 9-11 weeks,between 11-13 weeks,between 13 -16 weeks,D
70. CM. Chorionic villous sampling is done to diagnose:,phenylketonuria,down’s syndrome,neural tube defect,thalassemia/sickle cell anemia,osteogenesis imperfect,"A,B,D"
71. CM. True statements about amniocentesis are:,it carries risk of miscarriage,always done as a blind procedure,done between 14-20 weeks,chromosal abnormality can be detected,done between 8-12 weeks,"A,C,D"
72. CS. Amniocentesis is done at:,10-12 weeks,14-20 weeks,20-24 weeks,24-28 weeks,>34 weeks,B
73. CS. What is the earliest gestational age when detection of fetal heart activity can be achieved be USG:,6.0-6.5 weeks,6.5-7 weeks,7.1-7.5 weeks,8 weeks,9 weeks,A
74. CS. What is the finding seen earliest in USG:,yolk sac,fetal heart activity,chorion,placenta,embryo,A
75. CS. Earliest detectable congenital malformation by USG is:,anencephaly,spina bifida,meningocele,cystic hygroma,oesofageal atresia,A
76. CM. 2nd trimester USG is done for:,sex determination,to guide amniocentesis,gestational age estimation,diagnosis of congenital defects,determination of fetal presentation,"A,B,C,D"
77. CM. USG fetal growth parameters are:,biparietal diameter,head circumference,transcerebeller diameter,femur length,abdominal circumference,"A,B,D,E"
78. CS. Doppler ultrasound in pregnancy detects:,cardiovascular malformation,neural tube defects,abdominal masses,IUGR,fetal sex,D
79. CS. Late deceleration at CTG indicates:,head compression,cord compression,fetal hypoxia,breech presentation,placental insuficiency,C
80. CS. Early deceleration at CTG denotes:,head compression,cord compression,placental insufficiency,fetal distress,breech presentation,A
81. CM. Biophysical score includes:,fetal movements,respiratory movements,placental localization,uterine artery wave form,CTG,"A,B,E"
"82. CS. A young woman with 6 weeks amenorrhoea presents with signs of acute abdomen. Pregnancy test is positive, but USG shows empty uterus. Most likely diagnosis is:",ovarian cyst,ectopic pregnancy,complete abortion,septic abortion,pelvic abscess,B
"83. CS. A woman presents with amenorrhoea  of months duration; lower abdominal pain, facial pallor, fainting and shock. Most likely diagnosis is:",ruptured ovarian cyst,ruptured ectopic pregnancy,threatened  abortion,septic abortion,pelvic abscess,B
84. CS. Young lady presents with acute abdominal pain and history of 1½ months amenorrhoea and positive pregnancy test. On USG examination there is collection of fluid in the punch of Douglas and no gestational sac in uterus. Diagnosis is:,ectopic pregnancy,ruptured persisted follicle,threatened abortion,twisted ovarian cyst,pelvic abscess,A
85. CM. True statements about tubal pregnancy are:,prior tubal surgery is a risk factor,prior tubal pregnancy is a risk factor,prior PID/Chlamydia infection is the most frequent cause,IUD predisposes to tubal pregnancy,COC predisposes to tubal pregnancy,"A,B,C,D"
86. CS. Ectopic pregnancy is most commonly associated with:,endometriosis,congenital tubal anomalies,tuberculosis,tubal inflammatory diseases,retroverted uterus,D
87. CM. Most common manifestations of ruptured ectopic pregnancy includes:,vomiting,vaginal bleeding,abdominal pain,headache,fainting,"A,B,C,E"
88. CM. Modern diagnostic aids to diagnose ectopic pregnancy includes:,HCG,transvaginal USG,AFP,gravindex,culdocentesis,"A,B"
89. CM. Most important investigations for ectopic pregnancy:,trans-vaginal USG,serial βHCG levels,Doppler USG,progesterone,culdocentesis,"A,B"
"90. CM. In which of the following conditions, the medical treatment of Ectopic pregnancy is contraindicated:",sac size is 3 cm,blood in pelvis is 70 ml,presence of fetal heart activity,previous ectopic pregnancy,αhCG >1500mIU/ml,"C,E"
91. CS. A hemodynamically stable nulliparous patient with ectopic pregnancy has adnexal mass 2.5x3cms and a Beta HCG titer of 1500 miu/ml. What modality of treatment is suitable for her:,conservative management,medical management,laparoscopic surgery,laparotomy,repeat HCG after 48 hrs,B
"92. CS. A 20year-old woman has been brought to casualty with severe abdominal pain,  BP 70/40 mm Hg, pulse rate 120/min and a positive urine pregnancy test. She should be managed by:",immediate laparotomy,laparoscopy,culdocentesis,resuscitation and Medical management,conservative management,A
93. CS. Which of the following methods of treatment is not done in ectopic pregnancy:,salpingectomy,salpingo-oophorectomy,salpingostomy,resection of involved segment,salpingotomy,B
94. CS. Management of unruptured tubal pregnancy includes:,methotrexate,prostaglandins,hysterectomy,laparoscopic salpingostomy,salpingectomy,"A,D,E"
95. CS. Which statement is not true about ectopic pregnancy:,previous ectopic is greatest risk,COC increase risk,increased risk with pelvic infections,increased risk with IVF,IUD use increases the risk,B
"96. CS. A 22 old, sexually active female presents with 8 weeks amenorrhea and severe pain in left lower abdomen. On USG, there was a thick endometrium with a mass in lateral adnexa. The most probable diagnosis is:",ectopic pregnancy,torsion of dermoid cyst,tubo-ovarian mass,hydrosalpinx,ruptured ovarian cyst,A
97. CM. Diagnostic methods not useful in case of tubal pregnancy:,pelvic examination,USG,HCG,hysterosalpingography,hysterocontrastoscopy,"D,E"
98. CS. What is the treatment of choice of un-ruptured tubal pregnancy with serum b-HCG titer of 2000 IU/ml:,single dose of methotrexate,variable doses of methotrexate,expectant management,laparoscopic salpingostomy,laparotomy,A
99. CM. Treatment of endometriosis include:,medroxyprogesterone  acetate,tibolone,OCP,danazol,methotrexate,"A,B,C,D"
100. CM. Treatment of endometriosis include:,estrogen,progesterone,OCP,danazol,GnRH,"B,C,D,E"
101. CM. Drugs used in endometriosis are:,testosterone,danazol,GnRH,progesterone,estrogen,"B,C,D"
102. CS. Best investigation to establish the diagnosis of endometriosis is:,laparoscopy,USG,X-ray,CT scan,seric hormone,A
103. CS. True statement regarding adenomiosis is:,most common in nullipara,progestin are agents of choice for medical management,"presents with menorrhagia, dysmenorrhea, and an enlarged uterus",more common in young women,hormone independent disease,C
104. CM. Drugs for treatment of primary dysmenorrhea are:,bromocriptine,ibuprofen,mefenamic acid,norethisterone and ethinyl estradiol,estrogen,"B,C,D"
105. CS. A 20-year-old woman gives a history of sharp pain in the lower abdomen for 2-3 days every month approximately 2 weeks before the menses. The most probable etiology for her pain is:,endometriosis,dysmenorrhea,pelvic tuberculosis,mittelschmerz,PID,D
106. CS. Which is the treatment of choice for premenstrual syndrome?,SSRI,progesterone,estrogens,anxiolytics,tamoxifen,A
107. CS. Hysteroscopy means visualization of:,genital tract,fallopian tube,uterine cavity,cervix,abdominal cavity,C
108. CM. Hysteroscopy can diagnose:,Asherman’s syndrome,septate uterus,adenomyosis,TB endometritis,pregnancy,"A,B,D"
109. CM. Hysteroscopy is used in evaluation and treatment of:,uterine synechiae,abnormal vaginal bleeding,infertility,recurrent still birth and abortions,PID,"A,B,C"
110. CM. Asherman’s syndrome can be diagnosed by:,hysterosalpingography,saline sonography,endometrial culture,hysteroscopy,bimanual examination,"A,B,D"
111. CS. Best gas used for creating pneumoperitonium at laparoscopy is:,N2,O2,CO2,N2O,O3,C
112. CS. Laparoscopy is contraindicated in:,ectopic pregnancy,PID,endometriosis,peritonitis,genital endometriosis,D
113. CM. Occurrence of ovulation is indicated by:,LH,FSH,estradiol,progesterone,cortisol,"A,D"
114. CS. Which of the following methods for assessment of female infertility can best predict timing of ovulation:,BBT,Fern Test,spin barkeit phenomenon,LH,vaginal secretion,D
115. CS. Best indicator of ovarian reserve is:,FSH,estradiol,LH,FSH/LH ratio,progesterone,A
116. CS. Luteal phase defect is best diagnosed by:,serum progesterone levels,endometrial biopsy,basal body temperature,ultrasonography,serum estradiol,C
117. CS. Transcervical endometrial resection is used in :,endometriosis,DUB,carcinoma endometrium,Submucous fibroid,asherman syndrome,B
118. CM. Indications of rectal examination in gynecology are:,in cases with mullerian agenesis,in virgin females,to differentiate rectocele from enterocele,for staging of ovarian malignancy,in cases of recto-vaginal fistula,"A,B,C"
119. CM. What are the treatment indications for performing the endometrial curettage:,to stop uterine haemorrhages,to destroy intrauterine synaechiae,to remove the gestational sac and its fragments,to remove intrauterine devices,to diagnose tuberculous endometritis,"A,B,C,D"
120. CM. What complications could possibly arise when performing the endometrial curettage:,uterine perforation,secondary amenorrhea,pseudo-ducts formation,uterine prolapse,dyspareunia,"A,B,C"
121. CM. Endoscopic methods of investigation used in gynaecology are the following:,colposcopy,colonoscopy,culdoscopy,hysteroscopy,laparoscopy,"A,C,D,E"
122. CM. Which solutions are used during the detailed colposcopy?:,3% Lugol solution,KMnO4 solution,3% Acetic acid solution,6% H2O2 solution,0.9% NaCl solution,"A,C"
123. CM. The following pathological conditions can be diagnosed with the use of hysteroscopy:,endometrial polyp,ectopic pregnancy,submucosal uterine myoma,endometrial hyperplasia,intramural myoma,"A,C,D"
124. CM. What are the indications for diagnostic hysteroscopy:,uterine haemorrhages of unknown origin,infertility of unknown origin,determination of the uterine scar status,examination of the amniotic fluid,diagnosis of adenomyosis,"A,B,C"
125. CM. What are the indications for emergency laparoscopy:,ectopic pregnancy,ovarian apoplexy,suspected uterine perforation,genital endometriosis,distortion of subserosal fibroid,"A,B,C,E"
126. CM. What are the indications for elective laparoscopy:,tubo-peritoneal infertility,genital endometriosis,polycystic ovary syndrome,ovarian apoplexy,ectopic pregnancy,"A,B,C"
127. CM. Absolute contraindications for laparoscopy are the following:,terminal patient,sepsic shock,haemorrhagic shock,adhesions in the pelvic cavity,obesity,"A,B,C"
128. CS. Imaging investigation method most frequently used in obstetrics and gynaecology is:,hysterosalpingography,radiopelvigraphy with double contrast,echography,X-ray examination,CT,C
129. CM. What should be avoided for the purpose of conducting a cytological examination:,sexual intercourses 24-48 h prior to the examination,intravaginal treatment,menstruation period,manual examination prior to the procedure,specula examination,"A,B,C,D"
130. CM. What are the indications for the fractional dilation and curettage:,endometrial or cervical canal cancer suspicion,cervical canal polyp,menopausal haemorrhages,pregnancy suspicion,adenomyosis,"A,B,C"
131. CS. Small for gestational age fetus is defined when:,birth weight is below the tenth percentile of the average of gestational age,birth weight is below the 20 percentile of the average of gestational age,birth weight is below the 30 percentile of the average of gestational age,weight of baby is less than 1000 gm,weight of the baby is less than 1500 gn,A
132. CM. IUGR is seen in:,rubella,syphilis,CMV,chicken pox,HPV,"A,B,C,D"
133. CM. True statements about symmetrical IUGR with respect to asymmetrical IUGR:,worse prognosis,neurological defects,head larger than abdomen,less common,total number of cells is normal,"A,D"
134. CM. IUGR can be detected by USG by:,↓Fetal weigh,↓BPD,↑HC/AC,↓Head circumference,↑Amniotic fluid volume,"A,B,C,D"
135. CS. Best parameter for ultrasound evaluation of IUGR is:,placental membrane,length of femur,abdominal circumference,BPD,head circumference,C
136. CS. Birth weight of a baby can be increased by:,cessation of smoking,aspirin,Ca and vitamin D supplementation,bed rest,O2 therapy,A
137. CS. A large baby is born with which complication in pregnancy:,gestational diabetes,gestational hypertension,cardiac disease,anaemia,hepatosis of pregnancy,A
138. CS. Caudal regression syndrome is seen in babies of mother having:,PIH,cardiac disease,anaemia,gestational diabetes,hepatosis of pregnancy,D
139. CM. Hipoglycemia in new born is commonly seen in:,IUGR,mother with hypothyroidism,Rh incompatibility,macrosomia,hiperthyroidism,"A,D"
140. CM. Intrauterine fetal distress is indicated by:,acceleration of 15/min,deceleration of 30/min,variable deceleration 5-25/min,fetal HR<80/min,fetal HR 160-180/min,"B,C,D,E"
"141. CS. A pregnant lady with persistent late, variable decelerations with cervical dilatation of 6 cm shifted to operational theatre for surgery. Which of the following is not done in management:",supine position,O2 inhalation,I.V. fluids,subcutaneous terbutaline,oxytocin stopped,A
142. CS. Which is not done in case of IUGR?,non stress test,oxytocin challenge test,ultrasound biometry,amniocentesis,doppler studies,B
143. CM. True statements regarding IUGR are:,abdominal circumference (AC) is the least sensitive parameter for detection of IUGR,in asymmetric IUGR head circumference/abdominal circumference(HC/AC) is reduced,serial biparietal diameter (BPD) is the only important measurement in IUGR,AC indirectly reflects fetal liver size and glycogen storage,amniotic liquid volume is reduced,"D,E"
"144. CS. All are the risk factors associated with macrosomia, EXCEPT:",maternal obesity,prolonged pregnancy,previous large infant,short stature,diabetes,D
145. CM. Macrosomia is associated with:,gestational diabetes mellitus,maternal obesity,hipothyroidism,hyperbilirubinemia,preeclampsia,"A,B"
146. CS. A baseline bradicardia of fetal heart:,is a safe pattern,is a pattern which indicates an increased risk of fetal distress,indicates severe fetal distress,is usually caused by infection of the placenta and membranes,it is usually caused by temporary compression of umbilical cord,C
147. CS. Oligohydramnios can be defined as an amniotic fluid index of less than:,10 cm,7 cm,6 cm,5 cm,2 cm,D
148. CS. A reactive non-stress is considered when:,a late acceleration is observed after each contraction,a late acceleration is observed only once,a late deceleration is observed after each contraction,at least two accelerations of fetal heart rate of 15 beats or more above the baseline or at least 15 seconds are observed during 20 minutes,an acceleration of fetal heart rate of 15 beats or more above the baseline for at least 15 seconds is observed is observed during 20 minutes,D
149. CS. Normal fetal scalp pH is considered,7.35-7.45,7.25-7.35,7.10-7.20,7.00-7.10,6.90-7.00,B
150. CM. What are the correct methods of intrauterine resuscitation?,suppressing uterine contractions and decreasing the uterine tone,administering oxygen to the fetus by means of an intrauterine catheter,infusing oxytocin in order to stimulate uterine contractions,rubbing the patient’s nipples so as to stimulate uterine contractions,turning the woman to lateral position and avoiding supine position,"A,E"
151. CM. How should the fetal heart rate be monitored in labor?,a cardiotocograph (CTG) should be used in high risk labors,in low risk pregnancies a fetal stethoscope is adequate,a doptone should be used in all high risk pregnancies,the fetal heart rate does not need to be monitored in all low risk pregnancies,"if admission CTG is normal, fetal heart rate should not be monitored in labor","A,B"
152. CM. Biophysical profile  includes the following components:,fetal respiratory movements,motor activity and fetal muscular tone,level of chorionic gonadotropin in urine,amniotic fluid volume,non-stress CTG test,"A,B,D,E"
153. CS. Oligohydramnios can be defined as a maximum vertical pocket of amniotic fluid of less than:,10 cm,7 cm,6 cm,5 cm,2 cm,E
154. CM. Indications for induction of labour are:,placenta previa,prolonged pregnancy,heart disease at term,breech,intrauterine fetal death,"B,E"
155. CM. Contraindications for induction of labour are:,severe hydrocephalus,contracted pelvis,uterine scar,transverse lie,cephalic presentation,"A,B,C,D"
156. CS. In Bishop score all are included EXCEPT:,effacement of cervix,dilation of cervix,station of head,interspinal diameter,position of cervix,D
157. CM. Bishop's score includes:,dilation of cervix,effacement,cervical softening,condition of os,position of head,"A,B,C,E"
158. CM. All of the following are used for induction of labour:,PG F2 α tablet,PG E1 tablet,PG E2 gel,misoprostol,mifepristone,"B,C,D,E"
159. CM. Indicate the drugs used for cervical ripening:,prostaglandin E2,ritodrine,progesterone,misoprostol,atropine,"A,D"
160. CM. Artificial rupture of membranes is contraindicated in:,placenta previa marginalis,HIV infected,genital active herpes infection,twins,vasa previa,"B,C,E"
161. CM. Which of the following methods for induction of labour should not be used in patient with previous lower segment caesarean section:,prostaglandin gel,prostaglandin tablet,stripping of the membrane,oxytocin,misoprostol,"A,B,E"
162. CM. Which cardinal movement occur during labour:,flexion,extension,internal rotation,descent,asynclitisms,"A,B,C,D"
163. CM. Duration of latent phase of labour is affected by:,early use of conduction anaesthesia,unripe cervix,hypertonic uterine contraction,pre-eclampsia,excessive sedation,"A,B,E"
164. CS. A female at 37 weeks of gestation has mild labour pains for 10 hours and cervix is persistently 1 cm dilated but not effaced. What will be the next appropriate management?,sedation and wait,augmentation with oxytocin,cesarean section,amniotomy,augmentation with prostaglandins,A
"165. CM. Commonest causes of non – engagement at term, in primipara are:",CPD,hydramnios,IUGR,breech,occipitoposterior position,"A,E"
166. CM. Which is not included in Active management of III stage of labour?,uterotonic within 1 minute of delivery,"immediate clamping, cutting and ligation of cord",gentle massage of the uterus,controlled cord traction,spasmolytic within 1 minute of delivery,"B,E"
167. CS. During active labour average cervical dilation per hour in primipara is :,1.2 cms,1.5 cms,1.7 cms,2 cms,"0,5 cms",A
168. CS. Ritgen maneuver is done:,in shoulder  dystocia,for delivery of head in breech presentation,for delivery of legs in breech,for delivery of head in normal labour,for delivery of hands in breech presentation,D
"169. CS. During the active phase of labour, the minimum effective dilation of the cervix in primigravida should be at the rate of :",0.5 cm/hour,1 cm/hour,1.5 cm/hour,2 cm/hour,"2,5 cm/hour",A
170. CM. True statement concerning active phase of labour:,starts when the cervix is 3-5 cms dilated,"cervix dilates at the rate of 0.35-0,4 cms/hour",epidural analgesia slows the progress,oxytocin should not be used,fetal malposition slows the active phase of labor,"A,D"
171. CS. The latent phase of the first stage of labour is:,the period of time the cervix takes to dilate from 3 cm to full dilatation,the period of time from the onset of labour to full dilatation,the period of time from the onset of labour to 3 cm cervical dilatation,the period of time the cervix takes to dilate from 3 cm to 8 cm dilatation,the period of time after full dilatation,C
172. CS. What is the name given to the first oblique line on the partogram?,the action line,the alert line,the normal cervical dilation line,the danger line,the average line,B
173. CS. What is the name given to the second oblique line on the partogram?,the action line,the alert line,the normal cervical dilation line,the danger line,the transition line,A
