question,option_a,option_b,option_c,option_d,option_e,correct_answers
Which of the following manifestations can be found more frequently in a patient with chronic kidney disease (CKD) stage 3 KDOQI?,High blood pressure (in 50-60% of patients with CKD),Reduced absorption of calcium,Reduced excretion of phosphate,Increased levels of parathyroid hormone in the blood,Increased iron levels in the blood,"A,B,C"
Which of the following manifestations can be found more frequently in a patient with chronic kidney disease (CKD) stage 5 KDOQI which are not treated with a renal replacement therapy?,Wide QRS complex on ECG,Peaked T waves on ECG,Volume overload,Anemia,Paraproteinemia,"A,B,C"
Which are the objectives in the management of chronic kidney disease?,Slowing the progressing of chronic kidney disease;,Prophylaxis and treatment of complications,Preparing the patient with chronic kidney disease stage 3 KDOQI for a renal replacement therapy,Preparing the patient with chronic kidney disease stage 4 KDOQI for a renal replacement therapy,Enter the patient with chronic kidney disease stage 4 or 5 in the transplant waiting list,"A,B,E"
Which are the typical hematological disorders in patients with chronic kidney disease,Hemorrhagic diathesis,Microcytic anemia induced by aluminium,Leukocytosis,Leucopenia,Normocytic anemia,"A,E"
The treatment of hypervolemia in patients with chronic kidney disease is carried out by:,The administration of diuretics in patients that do not undergo dialysis,The restriction of water and salt intake,The increase of water intake after dialysis procedures,The administration of diuretics and increase of water intake,Performing ultrafiltration,"A,B,E"
Which are the acute complications of hemodialysis,Thrombosis of arterio-venous fistula,Convulsions,Malnutrition,Muscular cramps,Low blood pressure,"A,D,E"
Which of the following sentences are true regarding peritoneal dialysis:,Can be performed at home,It is the most frequent type of renal replacement therapy,"It is performed 4-6 times per day, every day",It is more efficient than renal transplant,It is not performed in patients with post-surgical abdominal adhesions,"A,C,E"
Which of the following sentences are true?,In chronic kidney disease the kidneys size is usually normal,"In acute kidney injury, you will always find size or structural modifications at a renal ultrasound exam",Anemia is frequent in chronic kidney disease,In acute kidney injury you can find severe renal bone disorders,"In chronic kidney disease, you will frequently find high blood pressure","C,E"
In which cases proteinuria can be considered normal?,Orthostatic proteinuria,Proteinuria during fever,Proteinuria after running a marathon,Proteinuria from IgA nephropathy,Proteinuria from multiple myeloma,"A,B,C"
Which is the most frequent cause that lead to acute kidney injury after causing acute interstitial nephritis?,Analgesics and nonsteroidal anti-inflammatories,Intoxication with organochloride insecticides,Chinese herbal teas,Bilateral renal stones,Tumor antigens,A
Acute kidney injury due to a glomerular cause is manifested by:,"Oliguria with purpura and fever, associated with the syndrome of acute kidney injury (acute renal failure)","Anuria, volume overload, fever, edema",Acute kidney injury associated with glomerular syndrome,Bilateral thrombosis of the renal veins,"Proteinuria, hematuria, anemia and kidney failure",C
Intrinsic acute renal failure is caused by:,Structural damage of one of the segment of the nephron,Reversible renal hemodynamic changes,Autosomal dominant polycystic kidney disease,Administration of analgesics,"Treatment with antihypertensive drugs (angiotensin converting enzyme inhibitors, sartans or calcium channel blockers)",A
Which are the manifestations of acute kidney injure due to acute interstitial nephritis,"Edema, proteinuria, high blood pressure and acute renal failure","Unilateral lumbar pain, fever, pollakiuria, leucocyturia, hematuria and purpura","Coughing, fever, bleeding diathesis","Fever, cutaneous rash, joint pains, eosinophilia, increased creatinine and sometimes the diuresis is normal","Epigastric tenderness, leukocytosis, constipations, stupor, increased creatinine",D
"Choose in which of the following disease, acute kidney injury can be manifested with intratubular obstructive deposits?",Diabetes mellitus type 1,Alport syndrome,Melanoma,Hypovolemia,Lipodystrophy,C
Choose the correct sentence regarding hepatorenal syndrome?,A type of chronic renal failure due to hepatic cirrhosis,A type of chronic renal failure due to acute tubular necrosis,A type of prerenal acute kidney injury,Intoxication with a renal or hepatic toxin,Glomerulonephritis in patients with acute hepatitis,C
Which is the main morphological lesion in ischemic or toxic acute kidney injury:,Extracapillary glomerular proliferation,Tubular proliferation,Vasculitis,Acute tubular necrosis,Leukocytes infiltrations in the loops of Henle,D
Hyperkalemia from acute kidney injury is treated with:,Angiotensin converting enzyme inhibitor,Calcium carbonate,Hemodialysis,Discontinuance of antacids administration,Parenteral nutrition,C
Which of the following is NOT a manifestation of hypocalcaemia in acute kidney injury?,Perioral paresthesia,Shortening of QT interval,Changes in the T wave,Convulsions,Confusion,B
Which of the following suggests acute kidney injury?,Renal osteodystrophia,Neuropathy,Rapid increase of urea and creatinine levels in the blood,Small kidney or renal scars seen on radiological examinations,Nephrotic proteinuria,C
Choose the correct sentences regarding renal function in acute kidney injury,It declines fast,It declines slowly,It increases,There is no impairment of renal function,It is not associated with renal morphological changes,A
Which is the most frequent cause of acute renal injury?,Intrinsic,Prerenal,Obstructive,Toxic,Infectious,B
Which of the following phase is NOT included in the clinical picture of acute kidney injury?,Onset phase,Exacerbation phase,Diuretic phase,Recuperation (recovery phase),Phase associated with oliguria,B
How long lasts the onset phase of acute kidney injury?,From a few hours to 2-3 days,3-4 weeks,10-15 days,2-3 months,20-30 minutes,A
"In which phase of acute kidney injury, the syndrome of azotemia appears:",Oliguric or anuric phase,Diuretic phase,Onset phase,Recovery phase,Exacerbation phase,A
Which of the following laboratory findings is a typical sign for the recovery phase in acute kidney injury?,Normalization of the levels of azotemia,Normalization of hemoglobin,Normalization of diuresis,Normalization of blood pressure,High blood urea nitrogen levels,A
How often should you check the diuresis in patients with acute kidney injury in the onset phase?,Every 2-3 hours,Every hour,Once in 24 hours,Every 4 hours,Every 12 hours,B
Which is a critical value of serum potassium level in a patient with acute kidney injury?,<3.5 mEq/L with ECG modifications,6.5-7 mEq/L without ECG modifications,> 7 mEq/L with ECG modifications,4 mEq/L without ECG modifications,5 mEq/L without ECG modifications,C
Which is the fastest method to decrease serum potassium in a patient with acute kidney injury?,"Insulin + glucose, calcium gluconate",Sodium bicarbonate,Hemodialysis,Loop diuretics,Manitol,A
Which is the most efficient treatment of pulmonary edema in acute kidney injury,Emergency hemodialysis,Oxygen mask,Nitroglycerine,Loops diuretics,Antibiotics,A
What are the types of acute kidney injury?,Prerenal,Intrinsic,Postrenal (obstructive),Normovolemic,Post infectious,"A,B,C"
"Pathogenetically, acute tubular necrosis is classified in:",Ischemic,Toxic,Allergic,Infectious,Infiltrative,"A,B"
"Etiopathogenetically, acute tubular necrosis is classified in",Allergic,Infectious,Infiltrative,Ischemic,Toxic,"A,B,C,E"
Which are the signs of dehydration?,Reduced skin turgor,Low blood pressure,Bradycardia,Oliguria,High central venous pressure,"A,B,D"
Which of the following manifestations one will typically find in obstructive acute kidney injury?,Lumbar or suprapubian pain,Oliguria,Massive proteinuria,Severe high blood pressure,Significant hypophosphatemia,"A,B"
Which diseases can induce intrinsic acute kidney injury?,Acute glomerulonephritis,Fanconi syndrome,Acute tubular necrosis,Acute interstitial nephritis,Focal segmental glomerulosclerosis,"A,B,C,D"
Posternal azotemia can be induced by which of the following situations?,Acute obstruction of the efferent arterioles,"Obstruction of one ureter, if the contralateral kidney has a normal function","Obstruction of one ureter, if the contralateral kidney is non-functional",Obstruction of both ureters,Obstruction of the bladder neck,"C,D,E"
Subvesical obstruction can be caused by which of the following situations?,Benign prostate hyperplasia,Prostate cancer,Neurogenic bladder,Ureteric obstruction by ligature,Hypovolemia,"A,B"
Myoglobinuric acute kidney injury can be found in which of the following disorders?,Severe trauma,Muscular ischemia,High blood pressure,Multiple myeloma,Hyperuricosuria,"A,B"
Which of the following will lead the impairment of renal function in acute kidney injury?,Azotemia,Electrolyte disorders,Acid-base disorders,Hypovolemia,Hydronephrosis,"A,B,C"
Which are the phases of acute kidney injury?,Onset phase,Oliguric or anuric phase,Diuretic phase,Recovery phase,Chronic phase,"A,B,C,D"
Which of the following stages are included in the phase three of acute kidney injury?,Early diuretic phase,Polyuric phase,Onset phase,Oliguric phase,Anuric phase,"A,B"
Choose the therapy principles in the treatment of hemodynamic disorders in prerenal acute kidney injury?,Artificial hemodilution,Improvement of blood rheology,Forced diuresis,Administration of antibiotics,Treatment with renal replacement therapy,"A,B"
What is the nonspecific treatment of pulmonary edema in acute kidney injury?,Bronchodilators,The patient should be in a sitting position,Oxygen mask,Loop diuretics,Nitroglycerine,"B,C,D,E"
Which are the absolute indications to initialize the dialysis in acute kidney injury?,Hyperpotassemia >6.5 mmol/l,Severe metabolic acidosis (pH <7.2),Anuria >24 h,Hemoglobin <100 g/l,Diuresis <500 ml / 24 h,"A,B"
Which are the risk factors for developing contrast-induced acute kidney injury?,The presence of chronic kidney disease,Diabetic nephropathy,Large volume of contrast agent,Hypovolemia,Obesity,"A,B,C,D"
Choose the intrinsic causes of acute kidney injury:,Acute pancreatitis,Septicemia with gram-negative bacteria,Allergic interstitial nephritis,Ureteral stones,Rapidly progressive glomerulonephritis,"C,E"
"In which of the following situation, angiotensin-converting-enzyme inhibitors should be avoided?",Unilateral ureteral stenosis,Unilateral renal artery stenosis,Renal artery stenosis of the solitary functional kidney,Bilateral renal artery stenosis,Unilateral kidney calices stenosis,"C,D"
Which of the following drugs must be avoided or used with great care in hypovolemic patients?,Diuretics,Angiotensin-converting-enzyme inhibitors,Nonsteroidal anti-inflammatory drugs,B vitamins,Antibiotics,"A,B,C"
Which are the indications for the initiation of dialysis in acute kidney injury?,Angina in patients with oliguria,Volume overload in patients with oliguria,Extreme dehydration,Severe hyperkalemia in patients with oliguria,Polyuria which cannot be treated with drugs,"B,D"
Which of the following signs or symptoms can suggests prerenal acute kidney injury?,Thirst,Orthostatic hypertension,High jugular tension,Orthostatic vertigo,Decreased skin turgor,"B,D,E"
Which of the following statements regarding acute kidney injury complications are true?,Metabolic alkalosis can exacerbate hyperkalemia,Metabolic acidosis is severe in ethylene glycol intoxication,Severe anemia in the absence of a hemorrhage can suggests thrombotic microangiopathy,Infection can be a complication of acute kidney injury in 50-90%,Serum potassium can increase with 2 mmol/l per day in oliguric acute kidney injury,"B,C,D"
Which are the absolute indications for the initiation of dialysis in acute kidney injury?,Hypocalcaemia,Hypernatremia,Uremic syndrome,Severe hypervolemia,Hyperkalemia which cannot be corrected with drugs,"C,D,E"
Rhabdomyolysis in acute kidney injury can be suggested by which of the following signs?,High levels of serum creatine-kinase (MM isoenzymes),Hypercalcemia,Hyperuricemia,Hyperkalemia,Hypophosphatemia,"A,C,D,E"
Select the correct statements regarding acute tubular necrosis:,Can be induced by infections,It is the most common cause of chronic kidney  disease,Can be induced by nephrotoxins,It is the most common cause of rapidly progressive glomerulonephritis,It is a common cause of acute kidney injury,"A,C,E"
Which are the causes of acute prerenal acute kidney injury?,Hemorrhages,Treatment with aminoglycosides,Antihypertensive drugs overdose,Vomiting,Diuretics overdose,"A,C,D,E"
In which situation can appear generalized edema in oliguric acute kidney injury?,Excessive intravenous administration of fluids,Acute kidney injury on chronic kidney disease,Acute kidney injury in a patient with chronic pyelonephritis,Toxic acute kidney injury,Excessive endogen production of water >400 ml/day,"A,B,E"
Which disorders can induce acute kidney injury with normal diuresis?,Acute kidney injury due to acute glomerulonephritis,Acute kidney injury due to acute pyelonephritis,Obstructive acute kidney injury,Acute kidney injury due to nephrotoxins,Postsurgery acute kidney injury,"D,E"
Select respiratory complications caused by uremic syndrome in acute kidney injury?,Kussmaul breathing,Pulmonary edema,Dyspnea,Hemoptysis,Chronic obstructive pulmonary disease,"A,B,C"
CS Which structure is usually affected in tubulointerstitial nephritis?,Interstitial tissue,Renal tubules,Renal glomeruli,Interstitial tissue and peritubular capillaries,Interstitial tissue and underlying tubules,E
CS Which of the following routes of dissemination is the most common in the infection of renal parenchyma?,Hematogenous route,Ascendant route,Lymphatic route,By continuity,Descending route,B
CS Which of the following DOES NOT increase the risk of recurrent urinary infection?,Sexual activity,Females,Renal stones,Urinary tract obstruction,Correct intimate hygiene,E
CS Which of the following is the most common extraurinary risk factor to develop chronic pyelonephritis?,Urinary stones,Vesicoureteral reflux,Congenital intrarenal anomalies,Diabetes mellitus,Incomplete emptying of the urinary bladder,D
CS Which bacterial agent more commonly causes chronic pyelonephritis?,Escherichia coli,β-hemolytic streptococcus,Mycoplasma,Proteus mirabilis,Pseudomonas aeruginosa,A
CS Which is the most common bacterial agent that causes acute and exacerbated chronic pyelonephritis?,Proteus,Enterobacter,Serratia,Staphylococcus aureus,Escherichia coli,E
CS Which of the following factor DOES NOT help to eliminate bacteria in the urinary tract,Normal urinary flow,Antibacterial properties of the urine,Antibacterial properties of the prostate secretions,Urinary stasis,Polymorphonuclear leukocytes from the bladder wall,D
CS Which are the typical clinical picture features of acute pyelonephritis,Slow onset,"Fever, chills, lumbar pain",Palpebral edema,Nocturia,Costovertebral angle tenderness,B
CS Which of the following signs and symptoms IS NOT characteristic for exacerbated chronic pyelonephritis?,Fever,Nausea,Bradycardia,Costovertebral angle tenderness,Diarrhea,C
CS Which test will allow us to assess glomerular filtration rate?,Nechiporenko test,Zimnitsky test,CKD-EPI formula,Three-glasses test,24-hour Urine Protein Test,C
CS How is proteinuria in acute pyelonephritis?,≤1 g/l,Extremely large,≥2 g/l,≥3 g/l,2-3 g/l,A
CS Select the correct statement regarding intravenous urography:,"Can offer information about the structure of the kidneys, pelvis and calices, ureters and urinary bladder",Does not offer information about renal function,It is mandatory for the diagnosis of chronic pyelonephritis,It is not contraindicated in chronic kidney disease stage 4-5 KDOQI,It is not contraindicated in case of iodine allergy,A
CS Which of the following DOES NOT influence the quantity of microorganism in urine?,The frequency of urination,Diuresis,Urine pH,The multiplication rate of bacteria,Leukocyturia,E
CS Which of the following statements is correct about antibiotic sensitivity test?,It has a major clinical significance,It does not have a major clinical significance,It has a major clinical significance only in pyelonephritis,It has a major clinical significance only in interstitial nephritis,It has a major clinical significance only in glomerulonephritis,A
CS Which of the following finding will always be present at a histological examination of the kidney in chronic pyelonephritis,Atrophy of the calices epithelium,Lymphocytic and histiocytic infiltrations of the interstitium,Damage of the renal blood vessels,Invasive glomerulonephritis,Periglomeruli sclerosis,B
CS Which is recommended to a pregnant woman with bacteriuria ≥105 U/ml?,"Antibacterial treatment, no matter of the clinical picture",Antibacterial treatment only in case of dysuria,Antibacterial treatment only in case of leukocyturia,Bed rest,"In the absence of any signs or symptoms, it is not recommended any treatment",A
CS Which of the following statement is correct regarding increase in blood pressure in a patient with chronic pyelonephritis?,It can occur,It never occurs,It occurs only in cases when there is an impairment of renal function,It can occur only in case if the duration of the disease is more than 3 years,It can occur only in case if the duration of the disease is more than 5 years,A
CS Which disease is described by the following sentence: “the presence of multiple renal abscesses with the tendency to confluence and formation of a common cavity”?,Cortico-medular renal abscess,Acute papillary necrosis,Renal carbuncle,Pyonephrosis,Perinephritis,C
CS In a mild exacerbation of chronic pyelonephritis the election treatment will be?,Ampicillin,Erythromycin,Cephalosporin,Co-trimoxazole,Ciprofloxacin,E
CS Which is the obligatory step in the treatment of drug reaction acute interstitial nephritis?,Cessation of the drug that caused allergic reaction,Administration of nonsteroidal anti-inflammatory drugs,Blood transfusions,Administration of cytostatic,Antibacterial treatment,A
CS How long should be treated a female patient with uncomplicated acute pyelonephritis?,3 days,7 days,14 days,21 days,6 weeks,C
CM Which of the following kidney diseases are tubulointerstitial nephropathies?,Interstitial nephritis due to chronic drug aggression,Interstitial nephritis due to drug hypersensibility,Chronic pyelonephritis,Interstitial nephritis associated with immunological diseases,Goodpasture syndrome,"A,B,C,D"
CM Which are the indication for surgery in exacerbated chronic pyelonephritis?,Pyonephrosis,Paranephritis,Renal abscess,Renal carbuncle,Uninfected renal cyst,"A,B,C,D"
CM Which of the following characterize bacterial shock in acute pyelonephritis?,Low blood pressure,Decreased diuresis,Metabolic acidosis,Metabolic alkalosis,High blood pressure,"A,B,C"
CM Which of the following kidney diseases are tubulointerstitial nephropathies?,Drug-induced acute interstitial nephritis,Reflux nephropathy,Toxic acute tubular necrosis,Minimal change disease,Obstructive nephropathy,"A,B,C,E"
CM Which conditions are associated with chronic tubulointerstitial nephropathies?,Viral chronic hepatitis,Diabetes mellitus,Pregnancy,Vesicoureteral reflux,Systemic vasculitis,"B,C,D"
CM Which are the interstitial lesions that allow us to make differential diagnosis with glomerulonephritis?,The absence of significant proteinuria,The absence hypoproteinemia,Severe high blood pressure,The absence of edema,The presence of sterile pyuria and white blood cells casts,"A,B,D,E"
CM Which are the suggestive features for interstitial nephropathies?,The absence of volume overload,High blood pressure,The absence of proteinuria,Significant  proteinuria <3g/day,Significant hematuria,"A,C"
CM Which are the suggestive features for chronic interstitial nephropathies?,Slow onset,Sudden and sever evolution,Insignificant proteinuria,The absence of severe high blood pressure,Significant edema,"A,C"
CM Which of the following causes can lead to interstitial nephropathies?,Infections,Allergens,Drugs,Autoimmune diseases,Vascular,"A,B,C,D"
CM Which of the following are part of lower urinary tract infections?,Acute pyelonephritis,Chronic pyelonephritis,Prostatitis,Cystitis,Urethritis,"C,D,E"
CM Which of the following are part of upper urinary tract infections?,Urethritis,Acute pyelonephritis,Chronic pyelonephritis,Renal carbuncle,Pyonephrosis,"B,C,D,E"
CM Which of the following ARE NOT part of upper urinary tract infections?,Urethritis,Acute pyelonephritis,Chronic pyelonephritis,Urolithiasis,Glomerulonephritis,"A,D,E"
CM Which are the local risk factors for developing urinary tract infections?,Renal stones,Diabetes mellitus,Vesicoureteral reflux,Female,Pregnancy,"A,C"
CM Which of the following persons have a higher risk to develop urinary tract infections?,Pregnant women,Persons with a renal transplant,Patients with urolithiasis,Males <20 years old,Patients with diabetes mellitus,"A,B,C,E"
CM Which of the following are risk factors to develop urinary tract infections?,Pregnancy,Male sex,Vesicoureteral reflux,Neurogenic disorder of the urinary bladder,Urethral catheterization,"A,C,D,E"
CM The “risk ages” for chronic pyelonephritis are:,Children in their first 2-3 years of life (congenital malformation),Sexually active females,Sexually active males,Females after menopause,Males with benign prostatic hypertrophy,"A,B,D,E"
CM The etiology of acute pyelonephritis can be:,"Bacterial due to Gram-negative colonization (Escherichia coli, Proteus spp., Klebsiella pneumoniae, Pseudomonas aeruginosa, Enterobacter, Citrobacter etc.)","Bacterial due to Gram positive colonization (Staphylococcus spp., Streptococcus spp., Enterococcus spp.).",Fungal,Viral,Autoimmune,"A,C,D"
CM Gram negative bacteria that can cause acute pyelonephritis or exacerbation of chronic pyelonephritis are:,E. coli,Staphylococcus aureus,Enterococcus saprophyticus,Pseudomonas aeruginosa,Enterobacter,"B,D,E"
CM Which are the virulence and uropathogen factors of E. coli?,Hemolysins,Aerobactin,Urease,Protease,Adhesins,"A,B,E"
CM Which are the bacterial virulence factors that can induce urinary tract infection?,Fimbriae,P pili,Hemolyisins production,Kinase production,Resistance to the bactericide action of the blood,"A,B,C,E"
CM Which are the defense mechanisms of the urinary factors?,Saprophytic periureteral flora,Urinary flow,Vaginal basic pH,Vesicoureteral valves,Sexual activity,"A,B,D"
CM Which of the following can be found in acute pyelonephritis?,Fever,Macrohematuria,Dysuria,Lumbar pain,Nephrotic syndrome,"A,C,D"
CM For the confirmation of chronic pyelonephritis which of the following should be carried out?,Urinalysis,Renal ultrasound,Intravenous urography,Cystography,Renal biopsy,"A,B,C"
CM What should be found in the urine to be able to put the diagnosis of urinary tract infection?,≥100 000 bacteria/ml in an asymptomatic patient,100 – 10 000 bacteria/ml in an asymptomatic patient,Any positive urine culture that was obtained with suprapubian aspiration,"≥1 000 bacteria/ml, in a pregnant patient","Multiple species of bacteria, no matter of the titer","B,D,E"
CM Which of the following are true regarding sterile pyuria?,Infections with unusual bacterial agents,Diabetic nephropathy,Infection with Mycobacterium tuberculosis,Fungi infections,Renal amyloidosis,"A,C,D"
