question,option_a,option_b,option_c,option_d,option_e,correct_answers
45. CS. The clinical symptom of the congenital high bowel obstruction is:,Alimentary vomiting,"Bilious vomiting, lack of meconial stools",Meconial and then fecaloid vomiting,"Meconial and then fecaloid vomiting, lack of meconial stools",Hemorrhagic vomiting,B
46. CS. The newborn on plain abdominal X-ray has two hydroaeric levels (double bubble sign) (on the contralateral sides of spine). What is the diagnosis?,Congenital hypertrophic pyloric stenosis,Duodenal atresia after the papilla Vateri,Duodenal stenosis,Meconial ileus,Meconial peritonitis,B
47. CS. The commonest cause of the bilious vomiting in a newborn is:,Congenital hypertrophic pyloric stenosis,Pyloric spasm,Meconial ileus,Duodenal atresia after papilla Vateri,Hiatal hernia,D
48. CS. The dominant symptom of congenital high bowel obstruction is:,Alimentary vomiting,Bilious vomiting,Alimentary vomiting with traces of blood,Reduced meconial transit,Significant abdominal distension,B
49. CS. The dominant symptom of congenital low bowel obstruction is:,Bilious vomiting from the first 24 hours of life,Bilious vomiting from the 24-48 hours of life and then fecaloid vomiting,Colicky abdominal pain,Spontaneous rectorrhagia,Very tenacious meconium adherent to the intestinal wall.,B
50. CS. What disease should be mandatory ruled in a newborn with bilious vomiting?,Gatroesophageal reflux disease,Hypertrophic pyloric stenosis,Congenital duodenal or small bowel obstruction,Meconial peritonitis,Congenital megacolon,C
51. CM. The causes that contribute to the development of bowel intussusception in infants are:,Morphologic and functional immaturity of the bowel wall,Aganglionosis of the bowel wall,Immaturity of the ileocecal valve,High colon mobility,Disturbances in the regulation of peristaltic activity,"C,D,E"
52. CM. The characteristic clinical signs of bowel intussusception in infants include:,Acute sudden onset,Fever,Periodic attacks of agitation,Intractable (recurrent) vomiting,"Stool with blood and mucus (""currant jelly"" stool)","A,C,D,E"
53. CM. The symptoms included in Alvarado Score for appendicitis are:,Migration of the pain to the right iliac fossa,"Anorexia, Nausea/Vomiting","Tenderness in the right iliac fossa, Rebound pain","Elevated temperature (fever), Leukocytosis, Shift to the left of neutrophils",Constipation or diarrhea,"A,B,C,D"
54. CM. The acute appendicitis in a child of up to 3 years manifests itself by the following symptoms:,Local pain in the right lower quadrant,Local pain in the epigastrium,Local pain in the paraumbelical region,Rebound tenderness in the right lower quadrant,Positive Blumberg sign,"A,D,E"
55. CM. A neonate with jejunoileal atresia shows the following:,Non-bilious vomiting,Bilious vomiting,Abdominal distension,Meconium could appears normal,Gray mucus plugs passed via rectum,"B,C,D,E"
56. CM. The following is true in a newborn with duodenal atresia:,Clear or bilious vomiting within hours of birth is present,An output of more then 5 ml of gastric content is indicative for positive diagnosis,An output of more then 20 ml of gastric content is indicative for positive diagnosis,Meconium could appear normal,Blood may be passed via rectum,"A,C,D"
57. CM. What symptoms are present in a child with diaphysial hematogenous osteomielitis on the 3rd day from the disease onset?,Local hyperemia,Local fluctuation,Nearest joint dysfunction,Pain on palpation,Pain on percussion,"A,C,E"
58. CM. The diagnosis of Hirschsprung's disease is established on the base of:,Full-thickness rectal biopsy or rectal suction biopsy,Contrast enema,Anorectal manometry,Acetylcholinesterase staining,Computed tomography,"A,B,C,D"
59. CM. The chronic constipation in children could be a result of:,"Megadolichosigma, megarectum",Inflammatory bowel disease,Intestinal neuronal dysplasia,Nutritional factors,Hirschsprung's disease,"A,C,D,E"
60. CM. The radiologic findings in Hirschsprung's disease include the following:,Hemorrhagic disease of newborn,Portal hypertension,Gastric and duodenal ulcer disease,Ulcerative colitis,Meckel's diverticulum,"A,B,C,E"
61. CM. Chronic gastrointestinal hemorrhage could occur in a child with:,Portal hypertension,Ulcerative colitis,Meckel's diverticulum,Peutz-Jeghers syndrome,Anal fissure,"B,D,E"
62. CM. Suspicion of portal hypertension invokes the necessity of:,Upper gastrointestinal endoscopy,Hemodynamic measurement of portal pressure,Duplex Doppler ultrasonography,Nasogastric tube insertion,Liver and spleen scan,"A,B,C"
63. CM. Patients with Peutz-Jeghers syndrome tend to present with the following symptoms:,Chronic GI bleeding,Gynecomastia,Developmental delay,Nasal polyposis (chronic sinusitis),Pigmented macules on the lips and digits,"A,B,D,E"
64. CM. Gardner's syndrome is characterized by:,Multiple polyps in the colon,Tumors outside the colon,Nasal polyposis,Pigmented macules on the lips and digits,Gynecomastia,"A,B"
65. CM. Prehepatic portal hypertension syndrome is caused by:,Portal or splenic veins thrombosis,Congenital atresia or stenosis of portal vein,Extrinsic compression (tumors) of the portal vein,Splanchnic arteriovenous fistula,Hepatic cirrhosis,"A,B,C,D"
"66. CM. Intrahepatic (presinusoidal, sinusoidal and postsinusoidal) portal hypertension syndrome is caused by:",Phlebitis of the portal vein,Hepatic cirrhosis,Hepatic fibrocystic disease,Neonatal hepatitis,Biliary atresia,"B,C,D,E"
67. CM. Budd-Chiari syndrome is caused by:,Idiopathic transformation of the portal vein,Thrombosis of the portal vein,Phlebitis of the portal vein,Thrombotic or nonthrombotic occlusion of hepatic veins,Inferior vena cava stenosis,"D,E"
68. CM. Acute gastrointestinal hemorrhage could occur in a child with:,Hemorrhagic disease of newborn,Portal hypertension,Gastric and duodenal ulcer disease,Ulcerative colitis,Meckel's diverticulum,"A,B,C,E"
69. CM. Noncomplicated congenital hydrocele is characterized by:,Borborygmus during reduction,Impossibility to reduce the formation,Transillumination symptom on diaphanoscopy,Enlargement of the external inguinal ring,"Positive ""cough"" symptom on palpation","B,C"
70. CM. Pyelonephritis is characterized by:,Leucocyturia,Bacteriuria,Proteinuria,Painful urination,Arterial hypertension,"A,B,C"
71. CM. Cystitis is characterized by:,Leucocyturia,Bacteriuria,Proteinuria,Painful and frequent urination,Low urine density,"A,B,D"
72. CM. The localization of the testis in cryptorchism could be:,Inguinal,Pubic,Femoral,Abdominal,Perineal,"A,D"
73. CM. The localization of the ectopic testis could be:,Inguinal,Pubic,Femoral,Perineal,Crisscross,"B,C,D,E"
74. CM. The obstructive hydronephrosis is characterized by:,Pain,Pathologic findings in the urinalysis,Palpable tumor symptom,Pathologic findings in the biochemical blood analysis,Hematuria,"A,B,C,D"
75. CM. The basic tools for the diagnosis of hydronephrosis include the following:,Ultrasound examination,Excretory urography,Cystography,Renal angiography,Computed tomography,"A,B"
76. CM. Epispadias in boys could be:,Glanular,Perineal,Penile,Penopubic,Balanic,"A,C,D"
77. CM. Epispadias in girl could be:,Glanular,Penile,Perineal,Subsymphiseal,Clitoral,"D,E"
78. CM. The main symptoms of pharyngeal and esophageal burn are:,Dysphagia,Diareea,Salivation,Fibrin depositions on the mucosa,Hoarse voice,"A,C,D,E"
79. CM. The following investigations are required for the confirmation of the diagnosis of esophageal cicatricial stenosis:,Antero-posterior plain chest X-ray,Contrast swallow X-ray,Double contrasting of the esophagus,Esophagoscopy,Blood count,"B,C,D"
80. CM. The symptoms of esophageal perforation are:,Headache,Dysphagia,Retrosternal chest pain,Subcutaneous crepitation in the neck,Fever,"B,C,D,E"
81. CM. The following  could be revealed by the chest X-ray in the first stage of necrotizing pneumonia:,Tensioned pyopneumothorax,Pneumothorax,Infiltrate,Fibrinous pleuritis,Abscess,"C,D"
82. CM. The stomach cardia hypotonicity occurs in the following:,Esophageal chalasia,Congenital diaphragmatic hernia or eventration,Congenital esophageal stenosis,Congenital short esophagus,Hiatal hernia,"A,D,E"
83. CM. Gastroesophageal reflux could be a result of:,Blunt angle of His,High position of the diaphragmatic cupula (dome),Splenomegaly,Wide esophageal hiatus,Dentate line higher than esophageal hiatus,"A,D"
84. CM. Main tools with a key role in the diagnosis of gastroesophageal reflux disease include:,pH monitoring of esophagus and stomach,Upper gastrointestinal imaging series,Plain chest X-ray,Esophagogastroduodenoscopy,Multilevel esophageal manometry,"A,B,D,E"
85. CM. Aspiration syndrome in neonate could be a result of:,Esophageal atresia,Double aortic arch,Reflux esophagitis,Achalasia,Tracheoesophageal fistula,"A,C,E"
86. CM. Symptoms of the foreign body of the esophagus are the following:,Vomiting,Food refusal,Salivation,Dyspnea,Difficult swallow (dysphagia),"B,C,E"
87. CM. The opacity of the anterior mediastinum on chest X-ray could be the evidence of:,Neuroblastoma,Ganglioneuroma,Thymoma,Teratoma,Thymus hyperplasia,"C,D,E"
88. CM. The opacity of the posterior mediastinum on chest X-ray could be the evidence of:,Neuroblastoma,Ganglioneuroma,Thymoma,Teratoma,Thymus hyperplasia,"A,B"
89. CM. Typical injuries of the locomotor apparatus in children are:,Subperiostal fracture,Epiphysiolysis,Hip dislocation,Radial head subluxation,Cervical hip fracture,"A,B,D"
90. CM. Pathologic fractures could occur in children with,Osteogenesis imperfecta,Osteomyelitis,Osteoid osteoma,Osteoblastoma,Rickets and scurvy,"A,B,D,E"
91. CM. The subperiostal fracture of long tubular bones in children is characterized by:,Pain,Pathologic mobility,Crepitation,Loss of function,Soft tissue swelling,"A,D,E"
92. CM. The clinical signs of a fracture are the following:,Function loss,Deformation and abnormal mobility,Fluctuation,Local pain,Crepitation,"A,B,D,E"
93. CM. Radial head subluxation in children is characterized by:,Abnormal mobility,Significantly painful rotational movements of the forearm,Limited motion in the elbow joint,Event of forearm traction in the anamnesis,Event of falling on the extended forearm in the anamnesis,"B,C,D"
94. CM. Eventual complications after elbow joint bones injuries include:,Volkmann's ischemic contracture,Varus or valgus deformations,Madelung deformity,Elbow joint contracture,Pseudarthrosis,"A,B,D,E"
95. CM. The compressive fracture of the bodies of thoracic vertebras is characterized by:,Trendelenburg's sign,Posttraumatic apnoea (respiratory arrest),Pain and limited movements in the area of injured vertebras,"Radiating, belting pain",Muscle tightness in the affected area,"B,C,D,E"
96. CM. First degree burns are usually:,Red,Dry,Painful,Wet,With blisters,"A,B,C"
97. CM. Second degree burns are usually:,Red,Dry,Very painful,Wet,With blisters,"A,C,D,E"
98. CM. Third degree burns are usually:,Leathery in consistency,Dry,Insensate (painless),Painful,Waxy,"A,B,C,E"
99. CM. Fourth degree burns are usually:,"Extending through entire skin, and into underlying fat, muscle and bone",Dry,Insensate (painless),Painful,"Black, charred with eschar","A,B,C,E"
100. CM. The traumatic injury of the spleen is diagnosed by:,Angiography,Pneumoperitoneum,Ultrasound examination,Laparoscopy,Air enema,"A,C,D"
101. CM. The developmental hip dysplasia (previously congenital hip dislocation) in neonate should be treated by:,Massage,Abduction brace,Pavlik harness,Light immobilizing casts,One stage reduction under general anesthesia,"A,C"
102. CM. The developmental hip dysplasia (previously congenital hip dislocation) beginning from 6 months of age should be treated by:,Physiotherapy and kinetotherapy,Pavlik harness,Massage,Abduction brace,One stage reduction under general anesthesia,"A,C,D,E"
103. CM. The developmental hip dysplasia (previously congenital hip dislocation) in an infant of 1 month should be treated by:,Physiotherapy,Massage,Pavlik harness,Abduction brace,One stage reduction under general anesthesia,"A,B,C,D"
104. CM. The developmental hip dysplasia (previously congenital hip dislocation) in a child older than 2 years should be treated by:,Physiotherapy and kinetotherapy,Massage,Orthopedic surgery,Light immobilizing casts,One stage reduction under general anesthesia,"A,B,C,D"
105. CM. Classic findings characteristic for developmental hip dysplasia include:,Ortolani sign,Galeazzi sign,Asymmetry of the gluteal thigh or labral skin folds,Decreased abduction on the affected side,Absolute leg-length inequality,"A,B,C,D"
106. CM. The main symptoms of clubfoot are:,Supination,Pronation,Equinus,Adduction,Abduction,"A,C,D"
107. CM. The conservative treatment of clubfoot includes:,Traditional casting methods,Ponseti method (also type casting).,Ligamentocapsulotomy,Chemotherapy,One stage reduction under general anesthesia,"A,B"
108. CM. The congenital clubfoot should be differentiated from:,Arthrogryposis (congenital joint contracture in 2 or more areas).,Leg shortening,Pes calcaneus,Paralitic pes equinus,"Little disease (spastic dyplegia) (both lower limbs/spastic ""spasm"").","A,D,E"
109. CM. The onset of the Legg-Calve-Perthes disease is characterized by:,Pain in the knee joint,Claudication (pain caused by too little blood flow to muscles during exercise),Pain in the hip joint,Fever,Restricted movements in the hip joint,"A,B,C,E"
110. CM. The VACTERL association comprises the following constellation of abnormalities:,Renal and cardiac malformations,Anorectal malformations,Posterior fossa malformations,Vertebral and tracheoesophageal defects,Limb deformities,"A,B,D,E"
111. CM. Indicate the peculiarities of neuroblastoma:,Could develop in a very young child (newborn  3-4 years old child),Is localized exclusive in the retroperitoneal space,"Could develop everywhere, but mainly in the retroperitoneal space",Is a invasive tumor without capsule,Is a non-invasive tumor with capsule,"A,C,D"
112. CM. Choose the symptoms of omphalocele:,Herniation of abdominal organs through a very enlarged umbilical ring,Exteriorization of the small bowel through a paraombelical abdominal wall defect,Eviscerated organs are covered by avascular membrane,Eviscerated intestinal loops are retracted and edematous.,The belly button is of normal appearance,"A,C"
113. CM. The symptoms of gastroschisis are as follows:,Herniation of abdominal organs through a very enlarged umbilical ring,Exteriorization of the small bowel through a paraombelical abdominal wall defect,Eviscerated organs are covered by avascular membrane,Eviscerated intestinal loops are retracted and edematous.,The belly button is of normal appearance,"B,D,E"
114. CM. The symptoms of testicular torsion are as follows:,Abrupt and brutal onset in a child who was previously well.,Violent pain in the hemiscrotum with irradiation in the inguinal and hip regions,Gradual onset with mild pain in the hemiscrotum,Mildly enlarged and edematous hemiscrotum,On palpation the testicle is enlarged and in a higher position,"A,B,D,E"
115. CM. The following affirmations regarding hemangiomas are true:,The natural evolution of hemangioma is towards spontaneous resolution,The hemangiomas could spread from skin and mucosa to the internal organs,The evolution of hemangiomas is mainly unpredictable,The hemangioma is a contraindication for immunization,The hemangioma could be complicated by hemorrhage and infection,"A,E"
116. CM. The main symptoms of lymphangiomas are as follows:,Neck tumor presented at birth,"Elastic, painless neck tumor with fluctuation","Hard, painful on palpation neck tumor",Hard neck tumor with a diameter of 1-3 cm,Hard neck tumors adherent to the skin,"A,B"
117. CM. Symptoms of congenital hip dysplasia are as follows:,Asymmetrical hip skin folds,Internal rotation of the involved extremity,External rotation of the involved extremity,Limitation of the abduction in the involved hip joint,Limitation of the adduction in the involved hip joint,"A,C,D"
118. CM. Choose the specific symptoms of perforated ulcerative-necrotic enterocolitis in an infant:,Fecaloid vomiting,"Significantly distended abdomen with tensioned skin, visible venous circulation on the abdominal wall",Abundant diarrheic foul smelling stools,Abundant rectorrhagia,Lack of intestinal transit for gases and fecal matter,"A,B,E"
119. CM. Complications of the necrotizing pneumonia are as follows:,Sepsis,Mediastinitis,Mediastinal emphysema,Lobar emphysema,Pulmonary hemorrhage,"A,B,C,E"
120. CM. Pneumomediastinitis in children could be caused by:,Necrotizing pneumonita,Mediastinal tumors,Bronchiectasis,Traumatic injuries of the esophagus,Traumatic injuries of the trachea,"A,D,E"
121. CM. Main symptoms of the left sided congenital diaphragmatic hernia with acute onset are as follows:,Progressive dyspnea and cyanosis,Difficult polypneic respirations,Regurgitation with modified blood,Dysphagia,The tachycardic heart sounds are auscultated on the right side,"A,B,E"
122. CM. The main symptoms of congenital lobar emphysema are as follows:,"Dyspnea, polypnea",Cianosis,Bulging of the involved hemithorax (outward protruding/ swelling).,Cough with mucous purulent sputum,Fever,"A,B,C"
123. CM. The differential diagnosis of the congenital diaphragmatic hernia should be done with:,Pulmonary atelectasis of newborn,Congenital lobar emphysema,Congenital bronchiectasis,Pneumonia of the newborn,Cyanotic cardiac malformation,"A,B,D,E"
124. Q. The following affirmations regarding biliary atresia are true:,"From the birth the child always has persistent, progressive jaundice","From the birth the child sometimes has persistent, progressive jaundice",The child develops persistent progressive jaundice on the 10-15 days of life,The meconium is colorless,The urine is dark,"B,C,D,E"
125. CM. Choose the right affirmations regarding acute appendicitis in children:,Is the most seldom surgical pathology of childhood,Is the most frequent surgical pathology of  childhood,Never develops in newborns and infants,The maximal incidence is in the 8-15 years age group,The evolution is faster and more severe then in adult,"B,D,E"
