question,option_a,option_b,option_c,option_d,option_e,correct_answers
CS  Select the group of drugs that should be avoided in patients during an asthma attack:,diuretics,sedatives,beta-mimetics,antibiotics,antipyretics,B
CS Asthma is defined as a disease that primarily affects:,pulmonary alveoli,the larynx,the airways,the lung interstitium,the airways and lung interstitium,C
"CS Bronchial reactivity in asthma, is triggered by:",allergens,viral infections,bacterial infections,exercise,a variety of stimuli,E
CS Name the correct answer about the obstruction in status asthmaticus:,is mild,is resolves spontaneously,lasts for minutes,can be lethal,is can be managed with usual therapy,D
CS Name the correct answer about the epidemiology of asthma:,it is a rare disease,the condition is very common,it is mainly encountered in women,it affects only children,it affects only elderly persons,B
CS The diagnosis of asthma is supported by:,reversibility of airway obstruction,eosinophilia in sputum and blood,increased serum IgE,hyperinflation on a chest Xray,positive skin tests to various allergens,A
CS Name the bronchodilatation mechanism of Ipratropium bromide in asthma:,beta receptor stimulation,reduction of inflammation in the bronchial mucosa,inhibition of phosphodiesterase,inhibition of mast cell degranulation,anticholinergic effect,E
CS The reversibility of airway obstruction in asthma is defined as:,an increase of 15% or more and at least 200 ml in FEV1 after inhaling a beta-agonist,absence of dyspnea after treatment,absence of cough after treatment,an increase of 5% or less of FEV1 after inhaling a beta-agonist,increase of 10% or less of FEV1 after inhaling a beta-agonist,A
CS Asthmatic triad or Samter’s triad is caused by one of the following drugs:,penicillin,sulfanilamide,zafirlukast,aspirin,ondansetron,D
CS Asthma attacks develop after blocking of following adrenergic receptors:,"alpha, beta1, beta2",beta-1 and beta-2,beta-1 and alpha,beta and alpha-2,alpha,B
"CS A 15 year old patient came to the ER with attacks of breathlessness that started at home. In childhood, she was allergic to eggs and cheese manifested by eczema. At the age of 13, these signs have disappeared. On her 15th birthday, she received a cat as a birthday present. A few months later, she started to experience mild attacks of dyspnea. What could be a possible diagnosis?",chronic obstructive bronchitis,lobar pneumonia,chronic obstructive pulmonary disease,allergic asthma,intrinsic asthma,D
The preferred route of administration of beta-agonists in asthma is:,inhaled,intravenous,intramuscular,subcutaneous,oral,A
CS Cromoglycate is used in the treatment of asthma because it is a:,mast cell membrane stabilizer,bronchodilator,anti-infective agent,expectorant,mucolytic,A
"CS In intermittent asthma, the treatment of choice is represented by:",administration of inhaled beta-agonists when needed,long term administration of inhaled beta-agonists,long term administration of inhaled corticosteroids,"long term administration of beta-agonists, corticosteroids and mast cell stabilizers",long term administration of oral corticosteroids,A
"CM In asthma, the following mediators are involved in the inflammatory reaction:",leukotriens,platelet activating factor,phospholipase A2,serotonin,bradykinin,"A,D,E"
CM The following drugs may be associated with the induction of asthma attacks:,indomethacine,naproxen,captopril,atenolol,amlodipine,"A,B"
CM Pathological findings in asthma can reveal:,bronchial smooth muscle hypertrophy,vessels atrophy of the bronchial mucosa and submucosa,edema of the bronchial mucosa,lymphocytes infiltration of in the bronchial wall,marked thickening of the basement membrane of the bronchial mucosa,"A,C,D"
CS Choose the correct statements about asthma:,asthma is a respiratory disorder characterized by increased bronchial reactivity triggered by a variety of stimuli,"asthma is characterized, in terms of pathophysiology, by widespread narrowing of the airways, which may resolve spontaneously or with treatment","asthma is characterized clinically by attacks of dyspnea, cough and wheezing",asthma is an episodic disease with acute exacerbations alternating with asymptomatic periods,asthma is a condition that evolves with chronic productive cough,"A,B,C,D"
CM The most effective methods of treatment in asthma are the following:,allergen avoidance in allergic asthma,administration of bronchodilators,administration of inhaled corticosteroids,antibiotics,expectorants,"A,B,C"
CM Inhaled corticosteroids are indicated in the treatment of asthma in the following situations:,patients with poor control only with short acting inhaled bronchodilators,mild asthma attack,severe asthma attack,asthma with frequent attacks,mild persistent asthma associated with allergic rhinitis,"A,D,E"
CM Allergic asthma is associated with personal or family history of:,"allergic diseases (rhinitis, urticaria, eczema)",positive intradermal skin test to antigens,increased levels of IgE in serum,positive challenge tests to inhaled antigens,low levels of IgE in serum,"A,B,C,D"
"CM Patients with nonallergic, intrinsic asthma have the following features:",no family or personal history of allergic diseases,negative allergic skin tests,normal levels of IgE in the serum,bradycardia,changes of BP,"A,B,C"
CM Differential diagnosis of asthma:,carcinoid tumors,recurrent pulmonary embolism,chronic bronchitis,deep vein thrombosis,paroxysmal tachycardia,"A,B,C"
CM Corticosteroids are used in the treatment of asthma because of their ability to:,induce bronchodilatation,reduce airway inflammation,reduce the inflammatory cell infiltration in the bronchial wall,induce bronchoconstriction,inhibit the cough reflex,"B,C"
CM Intrinsic asthma is characterized by:,positive family history of allergy,absence of personal history of allergy,negative skin tests,increased IgE levels,normal IgE levels,"B,C,E"
"CM In asthma patients, the control treatment includes:",long-acting beta2-agonists,inhaled corticosteroids,antihistamines,oral corticosteroids,metotrexate,"A,B"
CM During an asthma attack the following drugs should be avoided:,opiates,ipratropium bromide,sedatives,tranquilizers,albuterol,"A,C,D"
CM Select the correct statements about control treatment in asthma patients:,is administered only in patients with persistent asthma,is achieved by educating the patient,is achieved by administration of anti-inflammatory drugs only when needed,is achieved by administration of daily oral steroids for patients with residual symptoms or with unstable lung function,is achieved by avoiding aspirin and NSAIDs,"A,B"
CM Symptoms similar to asthma may be encountered in:,acute left ventricular failure,endobronchial disease,recurrent pulmonary embolism,eosinophilic pneumonia,gallstones,"A,B,C"
"CM Clinically, an asthma attack is manifested by:",episodes of breathlessness,episodes of coughing,episodes of wheezing,episodes of fever,episodes of stridor,"A,B,C"
CM Asthma is a disease:,manifested by episodes of symptoms caused by bronchoconstriction,with symptom-free periods,without exacerbations,with minimal damage to the airways,with impaired larynx,"A,B"
"CM After an attack, a patient with asthma:",has a fever,has chills,can be symptom - free,may have a period of several days with a certain degree of obstruction,may present a restrictive syndrome reversible after therapy,"C,D"
CM Status asthmaticus represents:,acute severe asthma episode unresponsive to repeated courses of beta-agonists therapy,successive episodes of chills,severe obstruction which persists for weeks,episodes of fever preceded by chills,a medical emergency,"A,E"
CM Narrowing the airways is the basic pathophysiological feature of asthma caused by:,smooth muscle contraction,vascular congestion,bronchial wall edema,viscous mucus secretion,smooth muscle relaxation,"A,C,D"
CM Sputum smears of patients with asthma microscopically may reveal:,Charcot - Leyden crystals,eosinophils,Curschmann spirals,lymphocytes,Lupus rosettes,"A,B,C"
CM Symptoms consistent with asthma are:,expiratory dyspnea,wheezing,"cough with thick, pearl-like sputum",cough with mucopurulent expectoration,chest pain,"A,B,C"
CM Microscopic examination of sputum in patients with asthma has the following features:,frequent polymorphonuclear cells,frequent eosinophils,Charcot - Leyden Crystals,common Gram positive microbial flora,common Gram negative microbial flora,"B,C"
CM What possible complications can occur in patients with asthma?,Lung abscess,Interstitial pulmonary fibrosis,Cor pulmonale,pulmonary emphysema,pulmonary embolism,"C,D"
CM Select the triggers in allergic asthma:,household dust,animal and human dander,bird feathers,humidity,plant pollens,"A,B,C,E"
CM Predisposing factors for asthma are:,humidity,heredity,atmospheric temperature fluctuations,oscillations of the Earth's magnetic field,atopy,"B,E"
CM Contributing factors of intrinsic asthma are:,Smoking,Air pollution,Koch's bacillus,Influenza viruses and adenoviruses,Dermatophagoides pteronyssinus,"A,B,D"
CM Select the pathogenetic mechanism of allergic asthma,type IV hypersensitivity reaction,type V hypersensitivity reaction,type II hypersensitivity reaction,type I hypersensitivity reaction,type III hypersensitivity reaction,"D,E"
CM Select the bronchial changes consistent with an asthma attack:,small airways narrowing,spasm of large airways,edema of the bronchial mucosa,bronchial infection,bronchial hypersecretion,"A,C,E"
ILD,cryptogenic organizing pneumonitis,acute interstitial pneumonitis,nonspecific interstitial pneumonitis,usual interstitial pneumonitis/ Idiopathic Pulmonary Fibrosis,desquamative interstitial pneumonitis,"A,B"
CM Which form of idiopathic interstitial pneumonitis have chronic evolution ?,cryptogenic organizing pneumonitis,acute interstitial pneumonitis,nonspecific interstitial pneumonitis,usual interstitial pneumonitis/ Idiopathic pulmonary fibrosis,desquamative interstitial pneumonitis,"C,D"
"CS Cysts, fibroblast foci, alternating areas of normal lung parenchyma and areas of fibrosis in a lung biopsy specimen characterize:",Lung abscess,Pneumonia,Idiopathic pulmonary fibrosis,Nonspecific interstitial pneumonitis,Lung cancer,C
"CS On HRCT were determined subpleural honeycombing with lower lobe predominance, widespread diffuse reticular opacities, ground glass opacities in restricted areas, traction. What is the most likely diagnosis?",COPD,Bronchiectasis,Cystic fibrosis,Idiopathic pulmonary fibrosis,Sarcoidosis,D
CM Exacerbation of idiopathic pulmonary fibrosis should be suspected in the following cases:,aggravation of dyspnea over the last year,"appearance of ""ground glass"" opacities with radiological progression",aggravation of dyspnea in the last month,appearance of bilateral infiltrative opacities with radiological progression,association of an infection,"B,C"
CM Which form of idiopathic interstitial pneumonitis are smoking related?,Cryptogenic organizing pneumonitis,Acute interstitial pneumonitis,Respiratory bronchiolitis - ILD,Usual interstitial pneumonitis/ Idiopathic Pulmonary Fibrosis,Desquamative interstitial pneumonitis,"C,E"
CM What are the clinical manifestations consistent with idiopathic pulmonary fibrosis?,fever,progressive dyspnea,dyspnea with an acute onset,cough,velcro crackles,"B,E"
CM What imaging signs can be determined on a chest X-ray in a patient with idiopathic pulmonary fibrosis?,linear opacities,cavities,reticular opacities,pneumothorax,honeycombing,"A,C,E"
CM What imaging signs can be determined on chest HRCT in a patient with idiopathic pulmonary fibrosis?,traction bronchiectasis,cavities,reticular opacities,"minimal „ground glass"" opacities",honeycombing,"A,C,D,E"
CM Name investigations used in the diagnosis of idiopathic pulmonary fibrosis,chest X-ray,chest HRCT,pulmonary scintigraphy,pulmonary function tests and DLCO,skin tests,"A,B,D"
CM The most important complications of idiopathic pulmonary fibrosis are:,"infections (Pneumocystis jiroveci, Aspergillus)",lung abscess,pulmonary gangrene,lung cancer,rapid deterioration,"A,D,E"
CM Morphological signs characteristic for hystological pattern of usual interstitial pneumonitis (UIP) are:,granulomas,fibroblast foci,thickening of the alveolar septa,hyperplasia of type II pneumocytes,the presence of eosinophils in the intraseptal cellular infiltrate,"B,C,D"
"CM In normal lung regeneration, repair process is completed by:",the predominance of epithelial cell apoptosis,reduced myofibroblasts apoptosis,secretion of surfactant,the predominance of myofibroblasts apoptosis,proliferation and differentiation of epithelial cells,"D,E"
CM Markers that correlate with the severity of lung injury are:,ESR,Fibrinogen,LDH,C-reactive protein,CFK,"A,B,C,D"
"CM In case new areas of „ground glass"" opacity and / or areas of pulmonary consolidation on HRCT in a patient with idiopathic pulmonary fibrosis we suspect:",COPD,a superimposed infection,exacerbation of idiopathic pulmonary fibrosis,development of pneumothorax,development of piopneumothorax,"B,C"
CM Bronchoalveolar lavage (BAL) in idiopathic pulmonary fibrosis will present:,Eosinophils > 20%,Lymphocytosis >15%,Neutrophils > 5%,Eosinophils under 5%,Pigmented macrophages >20%,"A,C"
CM Lymphocytosis in BAL (bronchoalveolar lavage) is suggestive for:,Sarcoidosis,Cryptogenic organizing pneumonitis,Idiopathic pulmonary fibrosis,Nonspecific interstitial pneumonitis,Acute interstitial pneumonitis,"A,B,D"
CM Drugs used in the treatment of idiopathic pulmonary fibrosis are:,Pirfenidone,Cocarboxylase,Nintedanib,Adrenaline,Prednisolon,"A,C"
"CS Subpleural ""honeycombing"" on HRCT is in suggestive of:",Sarcoidosis,COPD,Pulmonary infection,Idiopathic pulmonary fibrosis,Cryptogenic organizing pneumonitis,D
"CM 72-year-old patient, smoker 40 pack /year, complains of an exhausting dry cough, dyspnea at rest, marked fatigue, general weakness. The onset of the disease was insidious, with progressive aggravation of dyspnea and cough during the past year. Physical exam: acrocyanosis, clubbing, emphysematous chest, on lung percussion - hyperresonant sound (box-like), bilateral subscapular dullness, auscultation - decreased vesicular murmur, bilateral subscapular crepitations. RR 26/min, HR 110/min, BP 130/70 mmHg. SaO2 90%. On chest X-ray - interstitial syndrome. What are the investigations required for diagnosis?",Opacity (usually with supracostal intensity) with concave upper limit like Damoiseau line,Amputation of costophrenicus sinus; sometimes - discrete elevation of the diaphragm with decreased amplitude of movement,Opacity over the whole hemithorax,Contralateral mediastinal displacement with diaphragm descending,"Hydropneumotorax on the left, mediastinal and subcutaneous emphysema","A,B,E"
CS What are the radiological signs of a moderate pleural effusion?,"Hydropneumotorax on the left, mediastinal and subcutaneous emphysema",Amputation of costophrenicus sinus; sometimes - discrete elevation of the diaphragm with decreased amplitude of movement,"Opacity (usually of supracostal density) with concave upper limit like Damoiseau line, which changes with the change of the patient's position",Opacity over the whole hemithorax,Contralateral mediastinal displacement with diaphragm descending,C
CSThe most sensitive test in detecting small effusions is the:,Posterior-anterior chest X-ray,Lateral chest X-ray,Conventional tomography,Ultrasound examination of the chest,Computed tomography,D
CS In a pleural effusion computed tomography has the decisive role in:,Detecting small effusions,Pleural puncture guidance,Assessment of the amount of liquid,"Suggesting the appearance of pleural fluid (hemothorax, empyema etc.)","Specifying the parenchymal condition in the area of pleural opacity (lung abscess, pneumonia, bronchogenic cancer)",E
CS Select macroscopic description of pleural fluid which corresponds to a chylothorax or pseudochilotorax:,"Colorless liquid, clear, odorless",Purulent liquid with unpleasant odor,Opalescent and milky liquid,"Hemorrhagic, pink-colored, foamy fluid","Viscous, cloudy, odorless",C
CS What biochemical test is characteristic to pleural effusion due to mesothelioma:,pleural fluid glucose value is equal to that of serum,significant increase in amylase levels in pleural fluid,increased levels of triglycerides and fatty acids,increased level of cholesterol in pleural effusion,increased levels of hyaluronic acid in pleural effusion,E
CS In which disease significantly increases pleural amylase?,Pleurisy from pancreatitis or pancreatic pseudocyst,Parapneumonic pleurisy,Pleurisy as a result of thoracic lymph duct rupture,Pleurisy in rheumatoid arthritis,Pleural effusion in congestive heart failure,A
CS WBC less than 1000/mm3 in cytology examination of pleural fluid collections is typical to:,parapneumonic effusion,tuberculous effusion,transudate from congestive heart failure,neoplastic exudates,exudate from collagen disorders,C
"CS The examination of pleural fluid of a 28-year-old patient, revealed sero-citrine exudate, with predominantely lymphocytes in cytological examination and present AFB in bacteriologic examination. What is the probable diagnosis?",parapneumonic effusion,neoplastic exudates,transudate from congestive heart failure,exudate from the obstruction of thoracic lymph duct,tuberculous effusion,E
"CS The exam of pleural fluid in a 42-year-old patient, revealed a milky exudate, with increased levels of triglycerides and fatty acids, low cholesterol concentration. What is the probable diagnosis?",parapneumonic effusion,neoplastic exudate,transudate from congestive heart failure,exudate from the obstruction of thoracic lymph duct,tuberculous effusion,D
"CS A 36-year-old patient in a few days after the onset of pneumonia, despite antibacterial treatment, has persisting fever, chest pain and coughing have intensified. Objective: besides the congestion syndrome, the abolition of vocal vibrations in the lower left hemithorax has been detected, dullness, pleuretic rub. Radiologically - homogenous opacity on a background of lung consolidation. Examination of pleural fluid shows a citrine effusion with a large amount of fibrin, cytology - numerous intact polymorphnuclear neutrophils. What complication of pneumonia is found in this patient?",congestive heart failure with pleural transudate,pleural empyema,parapneumonic pleurisy,pyopneumothorax,purulent pericarditis,C
"CS An obese 58-year-old patient has undergone a surgery for phlebothrombosis of his right leg 2 weeks ago. After immobilization for 10 days he started complaining of dyspnea, small hemoptysis. On the chest x-ray - radiographic changes characteristic to pulmonary infarction with pleural effusion on the left. Pleural fluid examination shows a predomination of serohemorrhagic exudate with erythrocytes and a moderate amount of polymorphonuclear cells. What is the probable diagnosis?",parapneumonic exudate,neoplastic exudate,exudate in the obstruction of thoracic lymph duct,tuberculous exudate,exudate of pulmonary thromboembolism,E
CM In which exudates can be seen leukopenia?,Viral pleurisy,Pneumonia with pleurisy,Pleural effusion in systemic lupus erythematosus,Subphrenic abscess with pleurisy,Rupture of the esophagus (mediastinitis and empyema),"A,C"
CM In which exudates can be seen leukocytosis with left shift?,Viral pleurisy,Pneumonia with pleurisy,Pleural effusion in systemic lupus erythematosus,Subphrenic abscess with pleurisy,Rupture of the esophagus (mediastinitis and empyema),"B,D,E"
CM Select radiological signs of a massive effusion:,"Hidropneumotorax on the left, mediastinal and subcutaneous emphysema",Amputation of sinus costophrenicus; sometimes - discrete ascension of the diaphragm with decrease in its excursion,Opacity over the whole hemithorax,Contralateral mediastinal displacement with diaphragm descending,Opacity (usually of supracostal intensity) with concave upper limit in Damoiseau line,"C,D"
CM Select the radiological signs of a minimal pleurisy:,Amputation of costophrenic sinus,Opacification of the whole hemithorax,Sometimes discrete elevation n of the diaphragm with decrease in its excursion,Opacity with concave upper limit with Damoiseau line,In decubitus free fluid forms a strip-like opacity of a medium (subcostal) intensity,"A,C,E"
CM Ultrasound examination in pleural effusion may be useful for:,Detecting small effusions,Pleural puncture guidance,"Estimation of lung parenchyma condition behind the area of pleural opacity (pulmonary abscess, pneumonia, bronhogenic cancer)",Determining the amount of fluid,"Suggesting of the character of pleural fluid (hemothorax, empyema etc.)","A,B,D,E"
CM Dry pleuritis frequently occurs in:,Tuberculosis,Rheumatoid arthritis,Heart failure,Sarcoidosis,Uremia,"A,B,D,E"
CM Pain in dry pleuritis is characterized by:,"Amplification at deep breathing, cough",Sharp pain,Relief at limitation of thoracic movements,Subsides after nitroglycerin administration,Average duration of 3-5 minutes,"A,B,C"
CM Select the features of the dry pleuritis:,"Rapid shallow breathing, with limited ipsilateral respiratory movements",On palpation-confirmation of respiratory limitation and sometimes perception of pleural friction rub,Often the patient is lying on the affected side to limit chest expansion,On auscultation - pleural friction,"On percussion - the sound of a ""falling drop""","A,B,C,D"
CM Select the most frequent causes of transudates:,Pleural empyema,Congestive heart failure,Pleural mesothelioma,Liver cirrhosis,Nephrotic syndrome,"B,D,E"
CM Select the indications for diagnostic thoracocentesis in a patient with pleural transudate from heart failure:,The disappearance of pleural effusion after diuretic therapy,Febrile patient with pleural effusion,Pleural effusion with pleuretic pain,Unilateral pleural effusion,Persistent pleural effusion despite diuretic therapy,"B,E"
CM Name the mechanism of dyspnea in significant pleural effusion:,Impairment in diaphragmatic mechanics as a result of fluid accumulation in the pleural cavity,Bronchial hyperreactivity with their consequent obstruction,Lung compression by the fluid accumulation,Disorders of ventilation and perfusion as a result of lung compression,Main bronchus obstruction by a stretched tumor,"A,C,D"
CM Select criteria that define a pleural effusion as an exudates,"diffuse pulmonary suppuration, characterized by the formation of several excavations with 3-5 cm in diameter","diffuse pulmonary suppuration, which is a complication of atypical pneumonia","a circumscribed focus of pulmonary suppuration, which may be a complication of pneumonia with anaerobic germs","a circumscribed focus of pulmonary suppuration, which is a mandatory and permanent complication of atypical pneumonia","diffuse pulmonary suppuration, characterized by necrotic lesions and lack of delimitation of the inflammation","A,C,E"
CS The best imaging method for detection of bronchiectasis:,chest radiography,bronchography,bronchoscopy,pulmonary scintigraphy,high-resolution computed tomography,E
CS Name the entry routes of germs into the lungs in pulmonary suppurations:,macroaspiraţion,hematogenous dissemination,lymphogenous dissemination,thoracic trauma,all the mentioned routes,E
CS Secondary lung abscess:,is a complication of atypical pneumonia,occurs on previously healthy lung tissue,"is a complication of an existing local damage (cancer, bronchial stenosis, etc.)","is an natural evolution of a pneumonia with certain bacteria (Staphylococcus, Klebsiella, Pseudomonas)","there is no such thing as ""secondary lung abscess""",C
"CS A 25 years old patient complains from his childhood of muco-purulent cough with moderate expectoration. He mentions exacerbations of the disease 2 times a year, the sputum becomes purulent, mainly expectorated in the morning, or when he changes body position, in amounts of 250 ml during a day. Auscultation - bullous rales. Lab: CBC - neutrophil leukocytosis, ESR 30 mm / h. Sputum microscopy - 100% neutrophils. What is the next investigation to confirm the suggested diagnosis?",Bronchoscopy,HRCT,Chest X-ray,Lung scintigraphy,Spirometry,B
CM Name the factors necessary for the formation of the primitive lung abscess:,pulmonary infection,infection of the bronchial tree,gingival infection,aspiration,lung surgery,"C,D"
CM Name the radiological changes that can be observed in a lung abscess:,"""honeycomb"" image",round opacity or a pneumonia like image,air-fluid level,"""soap bubbles"" images","""signet ring"" image","B,C"
CM List the indications for surgery of lung abscess:,all cases of acute pulmonary abscess,"all patients with lung abscess, in which conservative treatment failed",abscess secondary to a bronchogenic cancer or bronchial stenosis,lung abscess complicated by pleural empyema or pyopneumothorax,repeated or risk of massive hemoptysis,"B,C,E"
CM List the possible causes of bronchiectasis:,disease has unknown cause and can affect anyone,"the causes are unknown, but most affected are premature children",congenital anomalies of the bronchial wall,untreated pertussis in childhood,primary ciliary dyskinesia (Kartagener syndrome),"C,D,E"
CM What radiological changes are features of bronchiectasis:,ringshaped or curvilinear opacities,"opaque band (""full pipe"")","""tramtrack""",air bronchogram,cystic formations in rosette,"A,B,C,E"
CM Bronchiectasis on computed tomography is identified by:,silhouette sign,"""signet ring"" sign","""tree in bud""",air alveologram,"parahilar homogeneous opacities (""butterfly"" sign)","B,C"
CM The main routes of entry into the lungs of pathogenic microbial germs that causes pneumonia are:,aspiration of organisms that colonize the oropharynx,inhalation of infectious aerosols,hematogenous dissemination of infection in an extrapulmonary outbreak,direct inoculation as a result of tracheal intubation or stab wounds,lymphatic spread of infection in an extrapulmonary outbreak,"A,B,C,D"
CM Which of the following are non-infectious causes of lung cavity:,diabetes,renal disease,sarcoidosis,lung cancer,Wegener granulomatosis,"D,E"
CM The indications for surgery of lung abscess are:,cough,nocturnal dyspnea,malignancy,atelectasis,massive hemoptysis,"C,E"
CM Anaerobic pneumonia can be treated with:,"combination of metronidazole, penicillin G",clindamycin,metronidazole is appropriate for gram-positive microaerophilic cocci,metronidazole should be supplemented with a beta-lactam agent,penicillin G,"A,B,E"
CM The following infectious agents are rarely causes of lung abscess:,H. influenzae,aerobic gram-negative enteric bacilli,Legionella,Mycoplasma pneumoniae,Histoplasma capsulatum,"A,C,D,E"
CM Establishing the diagnosis of anaerobic pulmonary infection is ensured by culturing the following specimens:,sputum,secretion obtained by from transtracheal aspiration,the material obtained by transthoracic lung puncture,obtained by brushing during bronchoscopy,oropharyngeal swab,"B,C,D"
CM The most frequent agents involved in the development of pulmonary abscess and gangrene are:,Legionella pneumoniae,Mycoplasma pneumoniae,Klebsiella pneumoniae,Bacterioides,Staphylococcus aureus,"C,D,E"
CM Complications of acute pulmonary abscess are:,pleural empyema,diffuse emphysema,asthma,pulmonary hemorrhage,sepsis,"A,D,E"
CM Which of the following conditions increase the risk of lung suppuration?,high blood pressure,diabetes,advanced lung cancer,gastroduodenal ulcers,prolonged corticosteroid,"B,C,E"
