question,option_a,option_b,option_c,option_d,option_e,correct_answers
CS Choose the most common cause of jaundice in acute cholecystitis:,Viral hepatitis,The spasm of the sphincter of  Oddi,Extendintion the inflammatory process to the main biliary duct,Pancreatic edema,Primary lithiasis of the common bile duct,B
CS The biliodigestive fistula is the affection characterized by formation of an abnormal communication between the gallbladder  and adjacent organs. The most frequent is affected:,The stomach,The duodenum,The ileum,The transverse colon,The jejunum,B
"CS In acute perforated calculous cholecystitis, the positive symptom is:",Bereznigovsky,Bartomie-Mihelson,Korte,Mondor,Blumberg,E
CS Which of the complications of biliary lithiasis requires surgical intervention during the first 2 hours after hospitalization?,Lithiasis of the common bile duct,Presenc eof fistula that involves the cystic duct and the common bile duct,Acute biliary pancreatitis,Destructive acute cholecystitis complicated with diffuse peritonitis,The mechanical jaundice,D
CS Primary lithiasis of the common bile duct is in consequence of:,Migration of stones from the gallbladder into the main biliary duct,Formation of a bilio-biliary fistula,Stones’ formation within the coledocus,Presence of a biliary-digestive fistula,Biliary colic (gallbladder attack),C
"CS A 44-year-old patient at the hospitalization presents colicative pain in the right hypochondrium, fever, jaundice. Total bilirubin is 40 mmol / l. What investigations can guide the diagnosis?",Intravenous colangiography,Oral colecistography,Abdominal X-ray,Liver scintigraphy,USG abdominal,E
CS The pathophysiological mechanism of haemolytic jaundice is:,Insufficient erythropoiesis,Excessive intra- and extravascular haemolysis,Temporar deficiency of liver transferase,Neonatal infections,Stricture of the intrahepatic bile ducts,B
CS One of the characteristicspresented  below does not correspond to chronic sclero-atrophic cholecystitis:,The gallbladder contains bile stasis,"The stones may not be identified,  if there was a passage through the main bile duct",There is pericholecystic inflammation,The walls contains sclerotic-lipomatous infiltration,It is an anatomopathological form,B
CS Select the mechanical complication of biliary lithiasis:,Acute cholecystitis,Gallbladder hydrops,Biliary pancreatitis,Stenosis of sphincter ofOdd,Cancer of the gallbladder,B
CM Which of the listed methods of investigation are more commonly used to confirm acute cholecystitis?,Abdominal X-ray in vertical position,Ultrasound,CT scan,Scintigraphy of the gallbladder,Laparoscopy,"B,C,E"
CM Which are the indications for intraoperative cholangiography during the surgery for acute cholecystitis:,Big stones inside the gallbladder,Lithiasis of the common bile duct,Dilatation of the bile ducts,Angina pectoris,Jaundice in anamnesis,"B,C,E"
"CM Among the conditions listed below, choose those which increase the risk of intraoperative lesions of the bile ducts:",Massive intraoperative haemorrhage,Variations and anomalies in the anatomical structure of the bile ducts,Maneuvers in pathologically modified tissues,"Traction of the gllbladder while ligation of the cystic duct, instrumental investigation of the bile ducts",Jaundice in anamnesis,"B,C,D"
"CM What are the consequences of iatrogenic lesions of  bile ducts, which are not observed during the surgery?",Intra-abdominal septic process,External biliary fistulae,Impermeability of bile ducts,Supurative cholangitis,Internal hernias,"A,B,C,D"
CM The dyspeptic form of gallstones is characterized by:,Nausea,Flatulence after eating,Jaundice,Motility disorder,Colicative pain,"A,B,D"
CM Select clinical suggestive signs for identification of acute cholecystitis?,Pain in right hypochondrium,Fever,Contracture before biliary attack,Diarrhea,Jaundice,"A,B"
CM Which affirmations about the gallstone ileus are correct?,"The clinical manifestation by high intestinal obstruction, the obstacle being more often situated at the level of the terminal ileum","The gallstones with a minimum diameter of 3-4 cm, leaves the gallbladder passing into the duodenum","By the abdominal x-ray , the presence of air in gallbladder or bile ducts is highlighted",By X-ray ansa santinelă is highlighted,It is accompanied by the contraction abdominal muscle,"A,B,C"
"CM In the etiopathogenesis of gallstones, the following factors are involved:",Excess of cholesterol in the composition of the bile,Decreased concentration of bile acids and lecithin in the bile,The gallbladder incapacity to evacuate its content effectively,"Presence of precipitation nuclei (epithelium, leukocytes, germs)",Involvement of testosterone,"A,B,C,D"
"CM Biliary colic, or gallstone attack, has the following characteristics:",It is accompanied by violent pain with exacerbations with the background of a permanent painful syndrome,The pain is located within the right hypochondrium with irradiation in epigastrium,Nausea and vomiting are excluded,The pain site is in the epigastrum with posterior irradiation,It is caused by tetaniform contraction of the smooth muscles of gallbladder,"A,B,E"
CM The clinical signs of acute cholecystitis in the elderly populations are characterized by the following features:,Regression of the symptoms just by indication of drug treatment,Local non-significant pain with the prevalence of intoxication symptoms,Moderate fever in destructive forms,Unclear symptoms of peritoneal irritation in association with complications,Diarrhea,"B,C,D"
CM Intraoperative colangiography allows:,To assess the presence and to identify the position of the stones within the bile ducts,To identify the communication of the gall bladder with adjacent organs,To identify the communication of gallbladder with the main bile duct (the common hepatic duct + common bile duct),To evluate the permeability of the distal portion of the common bile duct,To solutionate the spasms of bile ducts,"A,B,C,D"
CM The Mirizzi syndrome is:,Communication of the gallbladder with the common hepatic duct,Communication of the gallbladder with the right hepatic duct,Communication of the gallbladder with the common bile duct,Communication the gallblader with the duodenum,Communication of the gallbldder with the transverse colon,"A,B,C"
CM Retrospective endoscopic colangiopancreatography is indicated in:,Acute calculous cholecystitis without jaundice,Dilatation of the common bile duct with transitionary jaundice,Jaundice in anamnesis,Suspect lithiasis of the common bile duct,Cholangitis,"B,C,D,E"
CM The decompression of the bile ducts in case of mechanical jaundice can be performed by:,Endoscopic papillosphincterotomy,Cholecystectomy,Colecistectomy with drainage of the bile ducts,Percutaneous transhepatic drainage (PTD) drainage of the bile ducts,Endoscopic biliary drainage by nasobiliary drain,"A,C,D,E"
CM Small stones can cause the following medical conditions:,Acute biliary pancreatitis,Transitory mechanical jaundice,Biliary colic (gallstone attack),Gallstone ileus,Acute colecystitis,"A,B,C,E"
"CS Of those listed, the pancreatogenic shock is determined by:",Pancreatogenic peritonitis,Compression of the distal portion of the coledoc and the appearance of the cholemy:,Fermentative toxemia,Biliary hypertension,Dynamic intestinal ileus,C
"CS In the diagnosis of pancreonecrosis, the most informative instrumental diagnosis method will be:",Termography,Superior digestive endoscopy,Urine Amylase,Blood Amylase,Diagnostic laparoscopy,E
CS Select the sign that is NOT characteristic of acute pancreatitis:,„Transversal” pain,Incoercible vomiting,Hypertension during the first few hours of the debut of the disease,Collapse,Tachycardia,C
"CS List the complications of acute pancreatitis, except:",Abscess of the omental bursa,Hepatorenal failure,Pancreatic pseudocyst,Fermentative peritonitis,Colelitiasis,E
"CS A patient with a history of pancreonecrosis (6 months ago), was clinically detected a tumoral formation in the epigastric region  and the left hypochondrium of 15x20cm; on palpation- tought, a little painful, without feverish episodes. At the superior digestive endoscopy  determines the prolapsing of the posterior wall of the stomach, the duodenal cadran is deformed. Set the diagnosis :",Tumor of the transverse colon,Tumor of the pancreas,Pancreatic pseudocyst,Renal polyhistosis,Abscess of the omental bursa,C
CS In the evolution of acute pancreatitis the decisive role belongs:,Microbial flora,Platelet infiltration,Fermentative aggression,Venous stasis,Mesenteric thrombosis,C
CS Cytosteatonecrosis stains are the result of:,Proteolytic necrobiosis of the pacreatocites under the action of trypsin and hemotrypsin,Effect of elastase on venous walls,The action of lipolytic ferments on pancreatocites and interstitial adipose tissue,Spontaneous reduction of autolithic processes with the involution of microfocal pancreonecrosis,The association of infection with acute interstitial pancreatitis,C
CS FGDS performed in patients with acute pancreatitis reveals:,The condition of the Vater papilla,Confirmation of acute pancreatitis,Localization of the pathological process in the pancreas,Spreading the pathological process in the pancreas,The type of acute pancreatitis,A
CS The presence of pain on palpation in the region of the left costo-diaphragmatic angle is the sign:,Mayo-Robson,Körte,Grey-Turner,Mondor,Voskresensky,A
CS The ecchymosis on the lateral abdominal flanks in acute pancreatitis is characteristic of the sign:,Mayo-Robson,Körte,Grey-Turner,Mondor,Voskresensky,C
CS The most informative method of diagnosis in acute pancreatitis is:,Diagnostic pneumoperitoneum,The abdominal radiography,Diagnostic laparoscopy,FEGDS,Determination urine and blood amylase,C
CS To reduce pain in acute pancreatitis it ism ost effective:,Administration of spasmolytics,Peridural anesthesia,Antibiotic therapy,Blockage of the round ligament of the liver,Administration  i/m or i/v of the sol.Morfini,B
CS In the pathogenesis of acute pancreatitis doesn’t participate the following ferment:,Enterokinase,Elastase,Phospholipase,Trypsin,Streptokinase,E
CS In the case of pancreatic pseudocyst suppuration it is indicated:,Only antibiotic conservative treatment,Non-operative treatment,Emergency surgery,Dynamic surveillance,Physiotherapy,C
CS The most commonly used non-invasive method of diagnosing acute pancreatitis is:,Radiography of the abdomen,Abdominal USG,General blood analysis,Diagnostic laparoscopy,Abdominal CT,B
CM Select the clinical manifestations of acute pancreatitis:,Increase the blood pressure,Multiple vomiting,The symptom Mayo-Robson,The symptom Bonde,Reduction of intestinal peristalsis,"B,C,D,E"
CM Indicate curative measures to combat toxemia in pancreonecrosis:,Administration i/v of antifermentes,Intraaortal administration of cyclophosphine or fluorofur,Induction of forced diuresis,External draining of the lymphatic chest,Opioid administration,"A,B,C,D"
CM A 24-year-old patient who became ill 12 hours ago was diagnosed with pancreonecrosis. Indicate the medical-surgical measures to be performed:,Emergency laparotomy,Diagnostic laparoscopy with peritoneal cavity drainage,Nasogastric decompression,Laparoscopic cholecystectomy at the presence of biliary lithiasis,Volumic replenishment,"C,D,E"
CM The following forms are included in the classification of acute pancreatitis according to V.Filin:,Chronic pseudotumoral pancreatitis,Interstitial acute pancreatitis,Lipid pancreonecrosis,Acute infectious-necrotic pancreatitis,Acute haemorrhagic pancreatitis,"B,D"
CM The basic principles in the pathogenetic treatment of acute pancreatitis are:,Suppression of the pancreas excretory function,Volemic replenishment,Inactivation of pancreatic ferments,Decreased gastric secretion,Activation of intestinal peristalsis,"A,B,C,D"
"CM In acute interstitial pancreatitis, the following clinical manifestations can be determined:",Repeated vome,Abdominal muscular contract,Movable dullness on the sides of the abdomen,Colic pain located in the epigastrum,Hectic fever in the early hours,"A,B,C"
CM List the most informative positive diagnosis methods in acute pancreatitis:,Radiography of the abdomen,Celiacography,Abdominal CT,Diagnostic laparoscopy,Gastric pH measurement,"C,D"
CM Describe the curative procedures necessary to combat toxemia in pancreonecrosis:,Administration of antifermentes,Laparoscopic drainage of the peritoneal cavity,Forced diuresis,Proton pump inhibitors,Laparoscopic cholecistotomy,"A,B,C"
CM In acute pancreatitis the following biochemical changes of blood are determined:,Hypolipidemia,Hyperazotaemia,Hypocalcaemia,Hypercalcaemia,Hypoprothrombinemia,"B,C"
CM List the characteristics of pancreatic abscess:,Hectic fever,Infiltration in the epigastric region,Jaundice,Hyperamylasemia,Dilatation of the coledoc to the abdominal USG,"A,B"
CM Listthe complication characteristic of pancreonecrosis:,Pancreatic abscess,,,,,"A,B,C,E"
CM List the indications for laparotomy in acute pancreatitis:,Fermentative peritonitis,Purulent peritonitis,Aseptic pancreonecrosis,Septic pancreonecrosis,Pancreatogenic shock,B
CM Retrospective endoscopic colangiopancreatography in a patient with acute pancreatitis is indicated in the following cases:,Biliary pancreatitis,Dilatation of the coledoc on the ultrasonic examination,Growth of the liver cytolysis fermentations more than 3 times,Increase of alkaline phosphatase,It is obligatory in all cases,D
CM Describe the characteristics of algic syndrome in acute pancreatitis:,Localization of the pain in epigastrium,The pain is colicative,Iradiation of cranial pain,The presence of the pain „in the belt”,Iradiation of caudal pain,A
CM Which data can be found in abdominal USG in a patient with acute debut pancreatitis:,Intrapancreatic necrosis zones,Retroperitoneal collections,Irrelevant examination duet o intestinal meteorism,Pancreas without modification,Free intraperitoneal fluid,D
CM List the indications to spiral CT in acute pancreatitis:,The appearance of complications,Absence of therapeutic response after 72 hours,Ranson score below 3,Clinical diagnostic uncertainty in the first 72 hours,Hyperamylasemia and signs of severe acute pancreatitis,C
CM Select the afirmations about postnecrotic pancreatic cyst:,Represent intra- or extrapancreatic fluid collection,Has its own walls with cylindrical epithelium,"Represent a collection of pancreatic juice, necrotic squabs, blood and lymph",The most common localization is in the pancreas isthmus and body,The election localization is the omental bursa or retroperitoneal space,B
CM List the criteria under which the diagnosis of acute pancreatitis is established:,Amylasemia is the definite diagnostic criterion,"Abdominal pain with acute, severe and persistent debut with epigastric localization","Characteristic appearacnce of acute pancreatitis at the CT with contrast, MRI or abdominal ultrasound",Activity of serum lipase (or amylase) greater than three times the maximum normal value,"Slow, progressive, severe and persistent slow debut of abdominal pain with epigastric localization",D
CM List possible variants of pancreatic plastron evolution:,Forming a pancreatic pseudocyst,Eruption of the plastron into the peritoneal cavity,Gradual reabsorption of infiltration for 1-3 months,Malignancy of plastron,Suppuration of plastron with the development of purulent pancreatitis and parapancreatitis,A
CM List the characteristics of fermentative peritonitis in acute pancreatitis:,Peritoneal fluid contains high levels of pancreatic enzymes,Peritonitis is aseptic,Requires laparotomy with the repair of the peritoneal cavity,It develops in the late stages of the disease,Requires laparoscopic peritoneal lavage,A
"CS Alegeţi factorul patogenetic, dezechilibrul căruia determină apariţia ulcerului gastric Select the pathogenetic factor, which imbalance will determine the occurrence of gastric ulcer:",Secretory factor,Alimentary factor,Neuro-psyhiatric factori,Protective factor,Hereditary factor,D
CS Select the useful diagnostic test in monitoring of anti-Helicobacter pylori therapy:,Detection of urease,Biopsy,Histology,Bacteriology,Serology,C
CS Indicate the diagnostic method used to detect the source of upper digestive haemorrhage:,Radioisotop scanning,Ultrasound,The barium examination of the gastrointestinal tract,Fibroesophagogastroduodenoscopy,Selective angiography,C
"CS Select the period of perforated ulcer characterized by the following clinical signs: vomiting, accelerated pulse, superficial breathing, hypotension  and lack of intestinal transit:",False improvement,Shock,Diffuse peritonitis,Preperforation period,Period of onset of perforation,A
CS Select surgical procedure indicated for perforation of chronic gastric ulcer in  40-60 years old patient admitted within 6 hours from  onset:,Simple suture of the ulcer,Gastric resection (primary partial gastrectomy),Biopsy with ulcer suture Oppel procedure,Wedge gastric resection and vagotomy (Cuneiform excision of ulcer and vagotomy),Bilateral truncal vagotomy and simple suture of the ulcer,A
CS Select the dominant clinical sign of the chronic duodenal ulcer:,Haematemesis,Nausea,Vomiting,Pain,Tenesmus,E
"CS Define the Bergman's sign, determined in bleeding peptic ulcer:",Decrease of epigastric pain at the beginning of bleeding,Microscopic upper bleeding,The presence of ulcerogenic adenoma in the pancreas,Rectal bleeding,Esophageal varices bleeding,"A,D,E"
CS Malignancy of gastroduodenal ulcer more often occurs when it is localized in:,The greater curvature of the stomach,The duodenal bulb,Gastric cardia region,The gastric fundus region,The lesser curvature of the stomach,"B,C,D"
CS Select the gastric secretion phase appreciated by Hollender test:,At night,Basal phase,Intestinal phase,Cephalic phase,Hormonal phase,"B,C,D,E"
CS Select the grade of upper digestive bleeding at loss of 1000-1500 ml of blood (30% of circulating volume):,III,Type IV,Type V,Type I,Type II,"B,E"
CS Select the rare complication that occurs in the duodenal ulcer:,Malignancy,Gastric outlet obstruction,Bleeding,Penetration,Perforation,"A,C,D,E"
"CS  Pacient C., 45 year old, with a long history of duodenal ulcer refractory to drug therapy, and the prevalence of hyperacidity after the Kay test, the specifed operation is:",Highly selective vagotomy,Truncal vagotomy with ulcer excision and gastric drainage,Selective vagotomy with Jaboulay gastroduodenostomy,Truncal vagotomy with gastrojejunal anastomosis,2/3 partial gastrectomy ( Gastric resection 2/3),"B,C,D"
MC Select clinical conditions that are radiologically manifested by pneumoperitoneum:,Perforation of the abdominal part of esophagus,Perforated gastroduodenal ulcer,Intestinal perforation,Perforation of the gallbladder,Perforation of the urinary bladder,"A,B,C"
CM Select the types of gastric outlet obstruction as result of peptic ulcer disease:,Cardiac,Mediogastric,Pylobulbar,Postbulbar,Stenosis in the fundus region,"B,D"
CM Select the most common complications in duodenal ulcer:,Malignancy,Gastric outlet obstruction,Bleeding,Penetration,Perforation,"A,C,E"
