question,option_a,option_b,option_c,option_d,option_e,correct_answers
"Choose the most often disease, which evaluated with chronic diarrhea:",Ulcerative colitis,Inflammatory bowel disease,Crohn's disease,Bacterial overgrowth syndrome,Irritable bowel syndrome,E
Indicate the mainstay treatment in acute diarrhea:,Fluid and electrolyte replacement,Strong diet recommendations,Antidiarrheal agents,Antibiotics,Antiinflammatory drugs,A
Choose the classical examples of disease with osmotic diarrhea:,Ulcerative colitis,Crohn's disease,Radiation enterocolitis,Microscopiccolitis,Celiac disease,E
Choose the classical examples of disease with secretory diarrhea:,Celiac disease,Lactase deficiency,Short bowel syndrome,Ulcerative colitis,Cholera,E
Select the classical examples of disease with inflammatory diarrhea:,Celiac disease,Short bowel syndrome,Cholera,Chronic pancreatitis with pancreatic insufficiency,Crohn's disease,E
Select the typical skin / mucosal manifestation in celiac disease:,Erythema nodosum,Aphthous ulcerative stomatitis,Pyoderma gangrenosum,Livedo reticularis,Dermatitis herpetiformis,E
Choose the hallmark of Whipple's disease diagnosis:,"Triad of symptoms: abdominal pain, fever, weight loss","Triad of symptoms: diarrhea, abdominal pain, weight loss","Triad of symptoms: abdominal pain, weight loss, arthritis",Granuloma on light microscopy (intestinal tissue),"PAS-positive inclusions on light microscopy (duodenal, jejunal tissue)",E
Indicate the drugs recommended in refractory celiac sprue:,5-aminosalicylates,Selective smooth-muscle antispasmodics,Nonsteroidal antiinflammatory drugs,Ursodeoxycholic and choledeoxycholic acids,Corticosteroids,E
Select the duration of antibacterial treatment in Whipple's disease:,During the relapse,Life-long maintenance treatment,Not less than 3 months,3-4 weeks,One to two years,E
Select the most often cause of dyspepsia:,Chronic gastritis,Duodenal ulcer,Gastric ulcer,Gastric cancer,Functional dyspepsia,E
Select which of the mentioned below is absent in list of prognostic indicators in acute alcoholic hepatitis:,Encephalopathy,Ascites,Severe jaundice,Age,Hepatorenal syndrome,D
What type of autoantibody is characteristic for patients with primary biliary colangitis?,Anti liver-kidney microsomes antibodies,Antimitochondrial antibodies,Antinuclear antibodies,Anti-smooth-muscle antibodies,Soluble liver antigen,B
Which of the following is the most common cause of liver cirrhosis?,Alcohol,Drugs,Autoimmune hepatitis,1-antitrypsin deficiency,Nonalcoholic steatohepatitis,A
Select condition with low (<1.1 g/dL) serum-ascites albumin gradient:,Cirrhosis,Congestive heart failure,Constrictive pericarditis,Hepatic vein thrombosis,Nephrotic syndrome,E
Select the most common cause of cirrhosis:,Autoimmune hepatitis,Primary biliary cirrhosis,Chronic viral hepatitis,Suprahepatic vein thrombosis,Secondary biliary cirrhosis,C
Select the upper endoscopy sign that  is characteristic for  cirrhosis:,Expansion of the portal vein,Splenomegaly,Portal thrombosis,Esophageal varices,Reversal of portal flow,D
Which of the following clinical signs of cirrhosis is caused by portal hypertension?,Spider angiomata,Clubbing,Jaundice,Palmar erythema,Ascites,E
What is TRUE about Child-Pugh score:,It is used to assess the severity of cirrhosis,The severity of cirrhosis increases inversely proportional to the amount of lead,it is used to assess the severity of pancreatitis,Diameter of the portal vein is one of the parameters used to calculate the score,Small esophageal varices increased score value by 3 points,A
Select FALSE statement about spontaneous bacterial peritonitis:,It has a risk of hepatorenal syndrome,Carry albumin infusion on days one and three,It has a mortality of 10% in the short and medium term,The diagnosis is based on neutrophil counts in the ascitic liquid,Cefotaxime is the first choice of treatment,C
Selected manifestation of portal hypertension in cirrhosis.,Asterixis,Clubbing,Wedged hepatic venous pressure (WHVP)is >/= 6mmHg,Palmar erythema,Stellar angiomas,C
Select recomandation that is useless for treatment of ascites in alcoholic liver cirrhosis:,Acetaminophen,Cessation of alcohol,Furosemide in progressive dose,Low-salt diet,Albumin infusion on day 1 and 3 of treatment,A
Select which of the following statements supports a favorable prognosis in liver cirrhosis?,Presence of ascites,Presence of encephalopathy,Serum albumin more than 3.5 g / dl,Serum bilirubin more than 3 mg / dL,Prothrombin activity below 40%,C
Select the factor that can precipitate hepatic encephalopathy:,Low protein diet,High carbohydrate diet,High protein diet,Fruits diet,High lipid diet,C
Which of the following antibiotics will be most usefull in hepatic encephalopathy:,Imipenem (500mg) 2 x lflac/day for 1 week,Claritromycine 2 x 500mg/day for 1 week,Doxicilline 500mg/day 72hours,Rifaximine (200mg) 3x2 tb/day for 1 week,Cefuroxyme (500mg) 2 x 1 tb/day for 1 week,D
"Select the drug, which should be avoided in treatment of hepatic encephalopathy:",Neomycin,Lactulose,Metronidazole,Rifaximin,Benzodiazepine,E
"What is the minimum amount of daily alcohol intake for women, that is associated with the development of chronic liver disease?",1 drink,2 drinks,3 drinks,6 drinks,12 drinks,B
A 42-year-old man with cirrhosis related to hepatitis C and alcohol abuse has ascites requiring frequent large-volume paracentesis. Select the wrong recommendation for this patient:,Fluid restriction to less than 2 L daily,Furosemide 40 mg daily,Sodium restriction to less than 2 g daily,Spironolactone 200 mg daily,Transjugular intrahepatic portosystemic shunt if medical therapy fails,A
Which of the following statements about cardiac cirrhosis is TRUE?,AST and ALT levels may mimic the very high levels seen in acute viral hepatitis,Budd-Chiari syndrome cannot be distinguished clinically from cardiac cirrhosis,Echocardiography is the gold standard for diagnosing constrictive pericarditis as a cause of cirrhosis,"Prolonged passive congestion from right-sided heart failure results first in congestion and necrosis of portal triads, resulting in subsequent fibrosis",Venoocclusive disease can be confused with cardiac cirrhosis and is a major cause of morbidity and mortality in patients undergoing liver transplantation,A
Which of the following statements regarding liver transplantation is TRUE?,Individuals with cholangiocarcinoma should be referred early for consideration of liver transplantation,Living donor transplantation is only performed in children,Reinfection with hepatitis B typically occurs in 35% or more of patients with liver transplantation,The 5-year survival rate for orthotopic liver transplantation is about 50%,The most common indication for liver transplantation is chronic hepatitis B infection,C
Select the wrong affirmation about Wilson's disease:,It is an inherited disorder of copper homeostasis,Kayser-Fleischer rings are present in the cornea of the eyes,"In patients with mutations in ATP7B, copper is decreased in the liver",Serum ceruloplasmin level is reduced,Urinary excretion of copper is increased,C
Select the less efficient drug for treatment of Wilson's disease:,D-penicillamine,Prednisone,Trientine,Copper chelating medications,Zinc,B
What is the mainstay of therapy for hemochromatosis?,Glucocorticoids,Azathioprine and 6-mercaptopurine,Phlebotomy,Methotrexate,Infliximab,C
Select the FALSE statement about spontaneous bacterial peritonitis (SBP):,SBP is characterized by spontaneous infection of the ascitic fluid,Bacterial translocation is the presumed mechanism for development of SBP,The most common organisms are Escherichia coli,The diagnosis of SBP is made when the fluid sample has an absolute neutrophil count < 250/mm3,Treatment is with a second-generation cephalosporin,D
Select the FALSE statement about spontaneous bacterial peritonitis (SBP):,Bacterial translocation is the presumed mechanism for development of SBP,"If more than two organisms are identified, secondary bacterial peritonitis should be considered",The most common organisms are Staphilococcus aureus,The diagnosis of SBP is made when the fluid sample has an absolute neutrophil count >250/mm3,Treatment is with a second-generation cephalosporin,C
How do you define sustained viral respond of hepatitis C?,The normalization of transaminases,The disappearance of anti-HCV,Undetectable HCV RNA 6 months after the end of treatment,HCV RNA undetectable at end of treatment,Normalization of liver histology,C
Select the FALSE affirmation about hepatitis D (delta) virus:,Is an RNA virus,Is defective - depends on hepatitis C virus (HCV) virus for it’s replication,Causes a severe infection with accelerated evolution towards cirrhosis,Lacks effective treatment,Is one of smallesthuman virus,B
What is the most frequent mode of transmission HBV:,Parenteral,Sexual,Perinatal,Permucosa,Habitual,B
How many genotypes from HBV do now exist?,8,9,7,6,5,B
Select the most efficien transmission route of hepatitis C virus:,Perinatal,Sexual exposure,Intravenous drug use,Accidental exposure,Permucosal,C
How many genotypes from HCV do exist now?,5,6,7,8,9,C
Select the most common risk population for HDV infection:,In children,In adults,In pregnancy,In men,In female,B
Select with what conditions is associatedBEA - score = 2 points in hepatitis D:,Severe course of liver disease,Excellent 5-10 year course,Developed liver-related complications within 5-7 years of follow-up,Hepatocellular carcinoma,Hepatic failure,B
Select with what condition is associated BEA- score > 5 points in hepatitis delta:,Mild course of liver disease,Excellent 5-10 year course,Not developed liver cirrhosis within 10 years,Developed liver-related complications within 5-7 years of follow-up,Minimal liver fibrosis,D
What type of investigation is often used as an initial investigation for patients with jaundice:,Ultrasound,Computed tomography,Endoscopic retrograde cholangiopancreatography,Endoscopic ultrasound,Magnetic resonance cholangiopancreatography,A
What type of antibodies is possible to find in hepatitis delta:,Anti liver-kidney microsomes  1 antibodies,Anti liver-kidney microsomes 3 antibodies (LKM3),Antinuclear antibodies,Anti-smooth-muscle antibodies,Soluble liver antigen,B
Select the most common symptom for chronic hepatitis C:,Fatigue,Jaundice,Sjogren's syndrome,Lichen planus,Porphyriacutanea tarda,A
What is the weight of the liver in adult person:,2.0 to 2.5 kg,1.0 to 1.5 kg,1.6 to 1.8 kg,1.8 to 2.0 kg,0.5 to 1.0 kg,B
"Select the disease which usually affect other organ, than liver:",Wilson disease,Caroli disease,Jilbert syndrome,Budd-Chiari syndrome,Reiter's syndrome,E
"Select the liver disease, for which are absent effective methods of prevention:",Hepatitis A,Hepatitis B,Alcoholic cirrhosis,Steatosis,Wilson disease,E
"Select the symptom from mentioned below, which is the least specific for liver diseases:",Pale itchy skin,Dark urine,Abdominal pain and swelling,Yellow eyes,Periorbital edema,E
