question,option_a,option_b,option_c,option_d,option_e,correct_answers
Cough with foamy and pink colored sputum,The radiological features of pneumofibrosis in children are:,Pulmonary hyperinflation,Reticular opacities,Honeycomb appearance,Nodular opacities,"B,C,D,E"
Ground-glass opacities,Medical care in children with interstitial lung disease include:,Nonsteroidal anti-inflammatory drugs,Bronchodilators,Inhaled steroids,"Symptomatic therapy (antibiotics, expectorants)","B,C,D,E"
Oxygen therapy,Major indications for diagnostic bronchoscopy are:,Persistent abnormalities on chest radiograph,"Atelectatic lung, lobe or segment",Suspected foreign body in tracheobronchial tree,Persistent unexplained cough or wheeze,"A,B,C,D"
Community acquired pneumonia,Medications used to treat patients with cystic fibrosis include the following:,Bronchodilators,Antitussives,"Nebulized, inhaled, oral, or intravenous antibiotics",Pancreatic enzyme supplements,"A,C,D,E"
Mucolytics,The causes of respiratory failure in children are:,Cystic fibrosis,Bronchial asthma,Chronic interstitial lung disease,Primary bronchopulmonary dysplasia,"A,B,C,D"
Acute simple bronchitis,Clinical symptoms characteristic for respiratory failure in children are:,Tachypnea,Accessory muscle use and nasal flaring,High fever,Hacking cough,"A,B,E"
Paradoxical movement of the chest wall,Clinical symptoms characteristic for children with cystic fibrosis are:,Disproportionately long limbs,Wet cough,Rectal prolapse,Pancreatic exocrine insufficiency,"B,C,D"
Joint hypermobility,Associated antibiotic therapy is used in:,Tuberculosis,Lobar pneumonia,Sepsis,Pulmonary infection with Ps.aeruginosa,"A,C,D"
Acute obstructive bronchitis,Indirect signs of bronchiectasis on computed tomography are:,Bronchial wall thickening,Mucus plugging,Lobar consolidation,Patchy alveolar infiltrates,"A,B,C"
Which systems are affected in cystic fibrosis:,Respiratory,Digestive,Nervous,Reproductive,Lymphatic,"A,B,D"
Medical nutrition therapy in cystic fibrosis involves:,High-fat diet,High-protein diet,Additional salt intake,Phenylalanine-free diet,Gluten-free diet,"A,B,C"
Which disorders are associated with male infertility:,Bronchiolitis obliterans,Bronchial asthma,Cystic fibrosis,Idiopathic pulmonary fibrosis,Kartagener syndrome,"C,E"
Interstitial lung diseases are characterized by:,Stridor,Breathlessness,Decreased exercise tolerance,Inspiratory crackles on auscultation,Finger clubbing,"B,C,D,E"
Management of lung problems in cystic fibrosis include:,Nonsteroidal anti-inflammatory drugs,Antibiotics,Antitussives,Inhaled hypertonic saline,Surgical treatment of bronchiectasis,"B,D"
