question,option_a,option_b,option_c,option_d,option_e,correct_answers
The method of choice for the diagnosis of epiglottitis is:,Using a tongue depressor,Bronchoscopy,Ultrasonography,Pulse oximetry,Direct fiberoptic laryngoscopy,E
A clinical sign of acute respiratory failure is:,Wet rhonchi,Wheezing,Dullness on percussion,Dry rales,Dyspnea and intercostal retractions,E
Mark the signs of respiratory failure in children with acute respiratory infections?,"Pathological respiratory rate (tachypnea, bradypnea)","Respiratory signs of struggle (paradoxical respiratory movements, chest indrawing)",Cyanosis,Hoarseness,Cough,"A,B,C"
Select the risk factors for developing acute respiratory infections in young children?,Attendance in kindergarten,Immaturity of local lung protection,Bottle-feeding,Flu vaccination,Anemia,"A,B,C,E"
Croup is characterized by the following statements:,Abrupt onset,Barking cough,Hoarseness,Inspiratory stridor,Expiratory wheezing,"A,B,C,D"
Upper respiratory tract infections in children include:,Laryngitis,Tonsillitis/pharyngitis,Rhinitis,Otitis media,Bronchiolitis,"A,B,C,D"
are:,Purulent rhinitis,Follicular tonsillitis,Acute otitis media,Pneumonia,Laryngotracheobronchitis (croup),"C,D,E"
The criteria for hospitalization of children with acute respiratory infections are?,Neurotoxicosis,Convulsive syndrome,High fever with tolerance to antipyretic therapy,Acute bronchitis,Bronchiolitis,"A,B,C,E"
Children with higher risk for influenza complications are:,Children younger than 2 years,With chronic diseases,With primary immunodeficiency,Vaccinated children,Family history of allergy,"A,B,C"
Treatment of acute viral respiratory infections in young children include:,Reducing fluid intake,Antipyretic medication with acetylsalicylic acid,Increasing fluid intake,Antibiotic treatment,Antiviral drugs,"C,E"
Treatment of viral croup in children includes the following:,Humidification of respiratory gases,Oxygen supply,Corticosteroids,Nebulized epinephrine,Antibiotic treatment,"A,B,C,D"
Prevention measures of viral respiratory infections in children include:,Avoiding contact with infected people,Tempering the body,Antibiotic treatment,Flu vaccination,Medication with oseltamivir,"A,B,D"
Contraindications for influenza vaccination of the child are:,Primary immunodeficiency,Egg allergy,Allergy to cow's milk protein,Allergy to penicillin,Cystic fibrosis,"A,B"
Indications for influenza vaccination of the child are:,Newborn,Child with chronic lung disease in remission,Child with chronic lung disease in exacerbations,Healthy children older than 6 months,Children with tuberculosis,"B,D"
Possible complications of acute respiratory infection in children are:,Disseminated intravascular coagulation,Reye syndrome,Pneumonia,Congenital heart defects,Encephalitis,"A,B,C,E"
Antibiotic treatment in acute respiratory infections is indicated in the following cases:,High fever after the third day of disease onset,High fever on the first day of illness,Acute cough,Severe catarrhal signs,Prolonged and worsening condition of the patient,"A,E"
Viral pharyngitis is associated with the following signs:,Sneezing,Rhinorrhea,Dry cough,Tonsillar exudates with necrotic crypts,Papulovesicular lesions of the skin,"A,B,C"
Late complications of group A beta-hemolytic streptococcal pharyngitis include the following:,and subsequent rheumatic heart disease,Systemic infection,Antibacterial treatment for group A beta-hemolytic streptococci (GABHS) pharyngitis includes the following antibiotics:,Penicillin,Amoxicillin-clavulanate,"A,B"
Macrolides,Cephalosporins,Aminoglycosides,Early complications of group A beta-hemolytic streptococcal pharyngitis include the following:,Systemic infection,and subsequent rheumatic heart disease,"A,B,C,D"
Mark the signs of acute bacterial sinusitis in children:,Worsening or new onset of nasal discharge,Watery rhinorrhea,Fever after initial improvement,Purulent nasal discharge for at least 3 consecutive days,Redness of the eyes,"A,B,E"
Specific signs of acute bacterial sinusitis in children are:,Purulent nasal secretions,Purulent posterior pharyngeal secretions,Watery rhinorrhea,Periorbital edema,Tenderness overlying sinuses,"A,C,D"
