question,option_a,option_b,option_c,option_d,option_e,correct_answers
22. MC.  Anomalies of tract outlet left ventricle tract are:,Valvular aortic stenosis,Supravalvular aortic stenosis,Isolated pulmonary valvular stenosis,Stenosis of pulmonary artery branches,Coarctation of the aorta,"A,B,E"
23. MC.  Anomalies of tract outlet right ventricle are:,Isolated pulmonary valvular stenosis,Stenosis of pulmonary artery branches,Atresia pulmonary artery,Tetralogy of Fallot,Ebstein anomaly,"A,B,C,D"
24. MC.  Atrioventricular valve abnormalities are:,Congenital mitral stenosis,Atresia tricuspid valve,Ebstein anomaly,Anomalous origin of great vessels,Atrial septal defect,"A,B,C"
25. MC.  What laboratory investigations are recommended in pulmonary artery stenosis:,Cardiopulmonary X-ray,Doppler echocardiography,Cardiac catheterization,Angiography,Treadmill,"A,B,C,D"
26. MC.  Anatomical forms of congenital aortic stenosis are:,Valvular aortic stenosis,Supravalvular aortic stenosis,Subaortic aortic stenosis,Unicuspid aortic valve,Tricuspid aortic valve,"A,B,C"
27. MC.  Cardiac malformations with left-to-right shunt are:,Atrial septal defect,Ventricular septal defect,Aortopulmonary septal defect,Permeable ductus arteriosus,Ebstein anomaly,"A,B,C,D"
28. MC. Identify anatomical type of atrial septal defect by anatomic location of the defect:,Secundum atrial septal defect,Ostium primum atrial septal defect,Sinus venosus atrial defect septal,Coronary sinus atrial defect septal,Dehiscence of the anterior leaflet of the mitral valve,"A,B,C,D"
29. MC. Specify pathophysiological mechanisms of Tetralogy of Fallot:,Right-left flow in relation with the degree of stenosis,Systemic vascular resistance,Size of ventricular septal defect,Aortic position,Additional left ventricular trabeculae,"A,B,C,D"
30. MC.  Cardiopulmonary X-ray changes in Tetralogy of Fallot are:,Normal or slightly increased heart,Sabot heart,Decreased pulmonary vascularity,Pulmonary hypervascularisation,Spherical form of the heart,"A,B,C"
31. MC.  The natural progression and prognosis for common atrioventricular canal are:,Favorable,Unfavorable,They depend on left-right shunt,They depend on the level of pulmonary vascular resistance,They depend on atrioventricular valve insufficiency,"B,C,D,E"
32. MC.  Pathological types of total anomalous pulmonary venous return are:,Supracardiac,Cardiac,Infracardiac,Mixed,Supradiaphragmatic,"A,B,C"
33. MC.  Groups of drugs used for the treatment of pale congenital heart malformations complicated with congestive heart failure:,Angiotensin converting enzyme inhibitors,Aldosterone receptor inhibitors,Diuretics,Glycosides,Opioids,"A,B,C"
