question,option_a,option_b,option_c,option_d,option_e,correct_answers
Choose  the diseases that manifest with malabsorption syndrome:,Kartagener syndrome,Peptic ulcer,Celiac disease,Cystic fibrosis,Primary intestinal lymphangiectasia,"C,D,E"
Which of the following includes disaccharide malabsorption:,Lactase deficiency,Sucrose deficiency,Isomaltase-sucrose deficiency,Trypsinogen deficiency,Lipase deficiency,"A,B,C"
Choose  the types of lactase deficiency in children:,Congenital,Primary,Secondary,Developmental,Postinfectious,"A,B,C,D"
Clinical manifestations of congenital lactase deficiency are:,Recurrent vomiting from birth,Acid smelling urine,Diarrhea with fluid and electrolyte imbalance,Increased appetite,Good weight gain,"A,B,C"
Clinical manifestations of primary lactase deficiency are:,Dependence  on the volume of ingested milk,"Watery diarrhea, bowel sounds",Intermittent abdominal pain,Fever,Headache and vertigo,"A,B,C"
The causes of secondary lactase deficiency in children are:,Giardiasis,Inflammatory bowel diseses,Rotavirus diarrhea,Kwashiorkor,Prematurity,"A,B,C,D"
Choose the investigations for the diagnosis of lactase deficiency in children:,Stool exam,Lactose tolerance tests,Hydrogen breath test,Histoenzymatic examination,Liver biopsy,"A,B,C,D"
Dietary methods of lactase deficiency treatment in children are:,Reduction or exclusion in milk consumption,Acidified infant formula,Lactose-free infant formula and other lactose-free products,Hypoallergenic infant formula,Fruit and vegetables purees,"A,C,E"
Clinical signs of disaccharide deficiency are:,Increased weighting,Watery diarrhea,Melena,Varying degrees of malnutrition,Low muscle tone,"B,D,E"
The  causes of lipid malabsorption in children are:,Sucrose deficiency,Lipolytic pancreatic enzyme deficiency,Impaired secretion of bile acids,Intestinal motility disorder,Disruption of gut microbiota,"B,C"
The causes of lipolytic enzyme deficiency in children are:,Congenital,Associated with chronic pancreatic pathology,Associated with acute renal disorders,Acquired,Post-viral infections,"A,B,D"
The tests necessary to assess lipolytic enzyme deficiency in children are:,Stool examination,Complete blood count,Intestinal mucosal biopsy,Lipid profile,Fecal elastase-1,"A,C,D,E"
Choose  the methods of treatment of lipid malabsorption in children:,Pancreatic enzyme replacement therapy,Infant formula rich in medium chain triglycerides,Fat-soluble vitamin supplementation,Antibacterial drugs,Low-fat diet,"A,B,C"
Protein malabsorption is characteristic of:,Cystic fibrosis,Congenital exocrine pancreatic insufficiency,Chronic pancreatitis,Celiac disease,Vitamin D deficiency,"A,B,C,D"
Choose the correct statements about amino-acids malabsorption:,Hereditary diseases,Diseases with early onset,Debilitating childhood diseases,Multisystem involvement diseases,Diseases with good prognostic,"A,B,C,D"
18. Methods of protein malabsorption treatment in children are:,Diet rich in proteins,Pancreatic enzyme replacement therapy,Vitamins and micronutrients supplement,Low-fat diet,Ultraviolet phototherapy,"A,B,C"
