question,option_a,option_b,option_c,option_d,option_e,correct_answers
11. MC What includes the anamnesis of the malnutrition,Establishing of infectious antecedents in mother and child,How was the pregnancy,Mother s alimentation before the pregnancy,Baby weight at birth,The anamnesis data doesn’t have value in the diagnosis of the malnutrition,"A,B,C"
"12. MC For determining the correct diet in the malnutrition treatment, at the stage of the exploring the digestive tolerance is necessary to appreciate:",Quantity of food for 24 hours,Number of meals,Basic food,Quantity of liquid necessary for food deficiency substitution,The weaning food (complement) introduced at the moment,"A,B,D"
13. MC What includes the treatment of the malnutrition,Finding and removing the malnutrition’s causes,Diet therapy,Digestive enzymes,Antacids,Antibiotic therapy,"A,B,C,D"
14. MC What includes the prophylaxis of the malnutrition,The active medical supervision of the suckling babies,The maintenance of the breast feeding first 6mo of age,Detection and removing the feeding mistakes,Adequate diversification,The pharmaceutical treatment of the malnutrition,"A,B,C"
15. MC The congenital malnutrition is consequence of the following etiologic factors:,Gestation pathology in mother,The toxic influence of different noxious professional factors on mother,Deficient alimentation of mother during pregnancy,Chronic diseases in mother,Overfeeding of mother during pregnancy,"A,C,D"
"16. MC What are the necessities in proteins, lipids, glucides and kilocalories at the III stage of diet in the case of malnutrition ","Proteins 3,0 g / kg",Lipids 3-4-5 g / kg,Glucides 10-15 g / kg,Caloric value 100 kcal / kg / day,Caloric value 150 - 200 kcal / kg / day,"A,B,C,D"
17. MC What criteria are used for malnutrition degree appreciation,Etiologic factor,Gradual disappearance of subcutaneous adipose tissue,Ponderal index,Nutritional index,Clinical picture,"B,C,E"
18. MC What is characteristic for II degree of acquired malnutrition,Decreased turgor,Increased digestive tolerance,Decreased appetite,Normal stool,Muscular hypotony,"A,B,C,D"
19.  MC The acquired malnutrition is the consequence of the following etiologic factors:,Myopia,Wrong care,Recurrent infections,Food factors,Hypoproteic food,"A,C,E"
20. MC Specify which laboratory parameters is essentials in case of malnutrition:,Blood count,Chromosome analysis,Determination of iron in blood,Microscopy of fecal mass,Determination of the blood sterility,"B,C,D,E"
22. MC Select the socioeconomic factors that induce chronic nutritional disorders in infants:,Low family income,Adequate diversification of nutrition by age,Wrong child care,"Mother's bad habits (alcoholism, smoking)",Inadequate health education in family,"C,D,E"
23. MC Specify the pathogenic mechanisms of acquired malnutrition:,Reduction of the secretion of urea,"Global, protein and caloric deficiency affecting the energy reserves from fat",The gluconeogenesis and glucose deriving of amino-acids disturbance,The increasing of digestive tolerance,Maintained mechanisms of neuro-endocrine system,"B,C,D"
24. MC Select the liver changes in severe malnutrition:,Hypoalbuminemia,Fatty liver infiltration,"Urinary wastage of K, P, Zn, Mg",Normal synthesis of lipoprotein,Generalized edema,"A,C,D,E"
25. MC Nutritional anaemia in malnutrition is conditioned by the following disorders:,Deficient iron absorption,Insufficient hemoglobin synthesis,Decreased medullary iron deposits,Recurrent infections,Impaired lipid metabolism,"A,B,C"
26. MC Select adaptive mechanisms of endocrine changes in malnutrition:,Hyperthyroid function,The maintenance of the vital functions,The inhibition of the inessential endogenous energy consumption,The decrease of the metabolic processes,Normal secretory IgA immunity,"A,B,E"
27. MC Select the evolutionary phases of the malnutrition:,The regression,The progression,The stabilization,The convalescence,The exacerbations,"A,B,C"
28. MC Specify the exogenous factors of the malnutrition:,Alimentary,Infectious,Toxic,Endocrine disorders,Enzymopathy,"B,C,D"
29. MC Protein malnutrition (Kwashiorkor) is characterized by:,Imbalance of nitrogen balance,Selective deficiency of protein,Stagnation of weight curve after weaning,Dystrophy edematous,Normal weight curve,"A,B,C,D"
30. MC Select the particular forms of the malnutrition:,Marasmus,Flour products dystrophy,Starvation dystrophy,Malnutrition resulted in exudative enteropathy,Stagnation of weight as a result of lactose intolerance,"A,B,C"
31. MC Anthropometric assessment criteria in malnutrition include the determination of:,Weight,Height,Head circumference,Chest circumference,Abdominal circumference,"A,B,C,D"
32. MC Select the biological evaluation of the malnutrition:,Hyperamylasemia,Iron  deficiency  anemia,"Reduction of proteins, lipids, blood glucose",Rickets,Immunodeficiency,"B,C,D,E"
33. MC Select the instrumental diagnostic methods to confirm the second degree of malnutrition:,Abdominal barium examination,Gastroscopy,Mucosal jejunal biopsy,Abdominal tomography,Determination of radiological bone age,"A,B,C"
34. MC With which diseases will be done the differential diagnosis in malnutrition?:,Intestinal lymphangiectasia,Congenital chromosomal abnormalities,Congenital galactosemia,Celiac disease,Chronic gastroduodenitis,"B,C,D,E"
35. MC Select the factors that determine the severity of the malnutrition:,Gender of the patient,Age at which starting malnutrition,The degree of malnutrition,The absence of the associated chronic diseases,Iron-deficiency anemia I degree,"B,C,E"
36. MC Select the factors that contribute to child growth secondary disorders:,Overfeeding of mother,Chronic respiratory insufficiency,Copper metabolism disorders,Cystic fibrosis,Biliary dyskinesia,"A,B,C,D"
37. MC Select the principles of the treatment in infant malnutrition:,Hygienic-dietary therapy,Rebalancing electrolyte,Balancing metabolic acidosis,Antibiotic therapy,Extracorporeal detoxification,"B,C"
38. MC Indicate the main goals of the therapy in malnutrition:,Recovery digestive tolerance,The individualization of the treatment according to the etiology of the malnutrition,Electrolyte and mineral rebalancing,Staged diet treatment according to the evolutional stage of the malnutrition,Antibiotic therapy,"B,C,D"
39. MC Indicate the dietary formulas recommended in malnutrition:,Milk delactosed and partly delactosed,A mixture lactate adapted,Milk integrity,Milk for premature and low birth weight babies,Protein hydrolysates,"A,B,C"
40. MC Specify the laboratory methods and tools necessary to confirm the diagnosis of the malnutrition:,Serum amylase and lipase,"Determination in urine levels calcium, phosphorus",Abdominal ultrasound,Histological examination of the intestinal mucosa,Skull tomography,"A,B,C,D"
